Year,Team,Player,Salary,Percent_team_salary
1992.0,ATL,Dominique Wilkins,3500000.0,0.1940563317808827
1992.0,ATL,Jon Koncak,2450000.0,0.13583943224661787
1992.0,ATL,Kevin Willis,2425000.0,0.13445331559104015
1992.0,ATL,Blair Rasmussen,1988000.0,0.11022399645154136
1992.0,ATL,Roy Hinson,1250000.0,0.06930583277888668
1992.0,ATL,Travis Mays,1200000.0,0.0665335994677312
1992.0,ATL,Stacey Augmon,1138000.0,0.06309603016189842
1992.0,ATL,Adam Keefe,1000000.0,0.05544466622310934
1992.0,ATL,Duane Ferrell,825000.0,0.045741849634065204
1992.0,ATL,Mookie Blaylock,660000.0,0.036593479707252165
1992.0,ATL,Maurice Cheeks,600000.0,0.0332667997338656
1992.0,ATL,Paul Graham,500000.0,0.02772233311155467
1992.0,ATL,Jeff Sanders,250000.0,0.013861166555777335
1992.0,ATL,Morlon Wiley,250000.0,0.013861166555777335
1993.0,ATL,Dominique Wilkins,3500000.0,0.15548645046645934
1993.0,ATL,Jon Koncak,2900000.0,0.1288316303864949
1993.0,ATL,Kevin Willis,2625000.0,0.11661483784984451
1993.0,ATL,Blair Rasmussen,2457000.0,0.10915148822745446
1993.0,ATL,Mookie Blaylock,1630000.0,0.07241226121723679
1993.0,ATL,Roy Hinson,1445000.0,0.06419369169258107
1993.0,ATL,Stacey Augmon,1400000.0,0.06219458018658374
1993.0,ATL,Andrew Lang,1228000.0,0.054553531763660595
1993.0,ATL,Adam Keefe,1200000.0,0.05330964015992892
1993.0,ATL,Craig Ehlo,1200000.0,0.05330964015992892
1993.0,ATL,Duane Ferrell,1025000.0,0.045535317636605954
1993.0,ATL,Doug Edwards,650000.0,0.028876055086628164
1993.0,ATL,Paul Graham,600000.0,0.02665482007996446
1993.0,ATL,Greg Foster,250000.0,0.011106175033318524
1993.0,ATL,Steve Henson,250000.0,0.011106175033318524
1993.0,ATL,Ennis Whatley,150000.0,0.006663705019991115
1994.0,ATL,Blair Rasmussen,2747500.0,0.12563250651368538
1994.0,ATL,Craig Ehlo,2650000.0,0.12117421010419153
1994.0,ATL,Jon Koncak,2600000.0,0.11888790425316904
1994.0,ATL,Mookie Blaylock,2100000.0,0.09602484574294423
1994.0,ATL,Ken Norman,1963000.0,0.08976036771114264
1994.0,ATL,Steve Smith,1935900.0,0.08852118993988844
1994.0,ATL,Stacey Augmon,1662500.0,0.07601966954649751
1994.0,ATL,Tyrone Corbin,1600000.0,0.07316178723271942
1994.0,ATL,Andrew Lang,1596000.0,0.07297888276463761
1994.0,ATL,Grant Long,1485300.0,0.06791700161047384
1994.0,ATL,Doug Edwards,845000.0,0.03863856888227994
1994.0,ATL,Jim Les,250000.0,0.011431529255112408
1994.0,ATL,Sergei Bazarevich,168000.0,0.007681987659435539
1994.0,ATL,Fred Vinson,150000.0,0.006858917553067445
1994.0,ATL,Greg Anderson,110000.0,0.00502987287224946
1994.0,ATL,Tom Hovasse,6140.0,0.0002807583585055608
1995.0,ATL,Blair Rasmussen,3088000.0,0.13893013002204527
1995.0,ATL,Steve Smith,2568000.0,0.11553515994061277
1995.0,ATL,Mookie Blaylock,2500000.0,0.11247581769919467
1995.0,ATL,Ken Norman,2416000.0,0.10869663022450174
1995.0,ATL,Stacey Augmon,2160000.0,0.09717910649210419
1995.0,ATL,Andrew Lang,1964000.0,0.08836100238448734
1995.0,ATL,Grant Long,1860000.0,0.08368200836820083
1995.0,ATL,Craig Ehlo,1855000.0,0.08345705673280245
1995.0,ATL,Spud Webb,1800000.0,0.08098258874342017
1995.0,ATL,Alan Henderson,791000.0,0.0355873487200252
1995.0,ATL,Howard Nathan,300000.0,0.01349709812390336
1995.0,ATL,Donnie Boyce,250000.0,0.011247581769919468
1995.0,ATL,Matt Bullard,225000.0,0.01012282359292752
1995.0,ATL,Ennis Whatley,225000.0,0.01012282359292752
1995.0,ATL,Todd Mundt,225000.0,0.01012282359292752
1995.0,ATL,Tim Kempton,0.0,0.0
1991.0,BRK,Derrick Coleman,2300000.0,0.18256866169233213
1991.0,BRK,Sam Bowie,2000000.0,0.15875535799333226
1991.0,BRK,Kenny Anderson,1828000.0,0.1451023972059057
1991.0,BRK,Drazen Petrovic,1375000.0,0.10914430862041594
1991.0,BRK,Chris Dudley,1000000.0,0.07937767899666613
1991.0,BRK,Roy Hinson,943000.0,0.07485315129385617
1991.0,BRK,Terry Mills,850000.0,0.06747102714716621
1991.0,BRK,Chris Morris,650000.0,0.05159549134783299
1991.0,BRK,Mookie Blaylock,575000.0,0.04564216542308303
1991.0,BRK,Tate George,481000.0,0.038180663597396414
1991.0,BRK,Rafael Addison,311000.0,0.02468645816796317
1991.0,BRK,Doug Lee,150000.0,0.01190665184949992
1991.0,BRK,Dave Feitl,135000.0,0.01071598666454993
1992.0,BRK,Derrick Coleman,2870000.0,0.17592252053451024
1992.0,BRK,Sam Bowie,2600000.0,0.15937231825426015
1992.0,BRK,Kenny Anderson,2376000.0,0.14564178006620082
1992.0,BRK,Drazen Petrovic,1615000.0,0.09899472845408851
1992.0,BRK,Chris Morris,1510000.0,0.0925585386784357
1992.0,BRK,Rumeal Robinson,1225000.0,0.07508888071594949
