PLAYER_ID,SEASON_START,NAME
2,1983,Byron Scott
2,1984,Byron Scott
2,1985,Byron Scott
2,1986,Byron Scott
2,1987,Byron Scott
2,1988,Byron Scott
2,1989,Byron Scott
2,1990,Byron Scott
2,1991,Byron Scott
2,1992,Byron Scott
2,1993,Byron Scott
2,1994,Byron Scott
2,1995,Byron Scott
2,1996,Byron Scott
3,1988,Grant Long
3,1989,Grant Long
3,1990,Grant Long
3,1991,Grant Long
3,1992,Grant Long
3,1993,Grant Long
3,1994,Grant Long
3,1995,Grant Long
3,1996,Grant Long
3,1997,Grant Long
3,1998,Grant Long
3,1999,Grant Long
3,2000,Grant Long
3,2001,Grant Long
3,2002,Grant Long
7,1981,Dan Schayes
7,1982,Dan Schayes
7,1983,Dan Schayes
7,1984,Dan Schayes
7,1985,Dan Schayes
7,1986,Dan Schayes
7,1987,Dan Schayes
7,1988,Dan Schayes
7,1989,Dan Schayes
7,1990,Dan Schayes
7,1991,Dan Schayes
7,1992,Dan Schayes
7,1993,Dan Schayes
7,1994,Dan Schayes
7,1995,Dan Schayes
7,1996,Dan Schayes
7,1997,Dan Schayes
7,1998,Dan Schayes
9,1983,Sedale Threatt
9,1984,Sedale Threatt
9,1985,Sedale Threatt
9,1986,Sedale Threatt
9,1987,Sedale Threatt
9,1988,Sedale Threatt
9,1989,Sedale Threatt
9,1990,Sedale Threatt
9,1991,Sedale Threatt
9,1992,Sedale Threatt
9,1993,Sedale Threatt
9,1994,Sedale Threatt
9,1995,Sedale Threatt
9,1996,Sedale Threatt
12,1993,Chris King
12,1995,Chris King
12,1998,Chris King
15,1994,Eric Piatkowski
15,1995,Eric Piatkowski
15,1996,Eric Piatkowski
15,1997,Eric Piatkowski
15,1998,Eric Piatkowski
15,1999,Eric Piatkowski
15,2000,Eric Piatkowski
15,2001,Eric Piatkowski
15,2002,Eric Piatkowski
15,2003,Eric Piatkowski
15,2004,Eric Piatkowski
15,2005,Eric Piatkowski
15,2006,Eric Piatkowski
15,2007,Eric Piatkowski
17,1983,Clyde Drexler
17,1984,Clyde Drexler
17,1985,Clyde Drexler
17,1986,Clyde Drexler
17,1987,Clyde Drexler
17,1988,Clyde Drexler
17,1989,Clyde Drexler
17,1990,Clyde Drexler
17,1991,Clyde Drexler
17,1992,Clyde Drexler
17,1993,Clyde Drexler
17,1994,Clyde Drexler
17,1995,Clyde Drexler
17,1996,Clyde Drexler
17,1997,Clyde Drexler
21,1991,Greg Anthony
21,1992,Greg Anthony
21,1993,Greg Anthony
21,1994,Greg Anthony
21,1995,Greg Anthony
21,1996,Greg Anthony
21,1997,Greg Anthony
21,1998,Greg Anthony
21,1999,Greg Anthony
21,2000,Greg Anthony
21,2001,Greg Anthony
22,1988,Rik Smits
22,1989,Rik Smits
22,1990,Rik Smits
22,1991,Rik Smits
22,1992,Rik Smits
22,1993,Rik Smits
22,1994,Rik Smits
22,1995,Rik Smits
22,1996,Rik Smits
22,1997,Rik Smits
22,1998,Rik Smits
22,1999,Rik Smits
23,1986,Dennis Rodman
23,1987,Dennis Rodman
23,1988,Dennis Rodman
23,1989,Dennis Rodman
23,1990,Dennis Rodman
23,1991,Dennis Rodman
23,1992,Dennis Rodman
23,1993,Dennis Rodman
23,1994,Dennis Rodman
23,1995,Dennis Rodman
23,1996,Dennis Rodman
23,1997,Dennis Rodman
23,1998,Dennis Rodman
23,1999,Dennis Rodman
24,1992,Keith Jennings
24,1993,Keith Jennings
24,1994,Keith Jennings
26,1991,Luc Longley
26,1992,Luc Longley
26,1993,Luc Longley
26,1994,Luc Longley
26,1995,Luc Longley
26,1996,Luc Longley
26,1997,Luc Longley
26,1998,Luc Longley
26,1999,Luc Longley
26,2000,Luc Longley
28,1989,Doug West
28,1990,Doug West
28,1991,Doug West
28,1992,Doug West
28,1993,Doug West
28,1994,Doug West
28,1995,Doug West
28,1996,Doug West
28,1997,Doug West
28,1998,Doug West
28,1999,Doug West
28,2000,Doug West
