,player,team_from,date
0,Rony Seikaly,NJN,"August 3, 1999"
1,Charles Jones,CHI,"August 4, 1999"
2,Casey Shaw,PHI,"August 9, 1999"
3,Mark Davis,MIA,"August 15, 1999"
4,Duane Ferrell,ATL,"August 16, 1999"
5,Tyrone Corbin,ATL,"August 16, 1999"
6,Pooh Richardson,LAC,"September 9, 1999"
7,Jeff McInnis,ORL,"September 16, 1999"
8,Keith Booth,CHI,"September 22, 1999"
9,Michael Smith,ORL,"September 29, 1999"
10,Rodrick Rhodes,ORL,"October 4, 1999"
11,Brian Shaw,HOU,"October 4, 1999"
12,Stacey Augmon,HOU,"October 12, 1999"
13,Tony Smith,CLE,"October 14, 1999"
14,Zendon Hamilton,DAL,"October 15, 1999"
15,Ben Davis,DAL,"October 15, 1999"
16,Maceo Baston,CHI,"October 20, 1999"
17,Jonathan Kerner,WAS,"October 24, 1999"
18,Michael Hawkins,DET,"October 25, 1999"
19,Shawnelle Scott,DEN,"October 26, 1999"
20,Torraye Braggs,UTA,"October 27, 1999"
21,Ira Newble,SAS,"October 27, 1999"
22,Cory Carr,CHI,"October 27, 1999"
23,Stephen Jackson,VAN,"October 28, 1999"
24,Benoit Benjamin,LAL,"October 28, 1999"
25,Randell Jackson,WAS,"October 28, 1999"
26,Doug Overton,PHI,"October 28, 1999"
27,Earl Boykins,CLE,"October 28, 1999"
28,Jamel Thomas,CLE,"October 28, 1999"
29,Steve Scheffler,SEA,"October 28, 1999"
30,William Cunningham,UTA,"October 28, 1999"
31,Terry Davis,ORL,"October 29, 1999"
32,Art Long,SAC,"October 29, 1999"
33,Kevin Ollie,DAL,"October 29, 1999"
34,Mark Pope,IND,"October 30, 1999"
35,Mitchell Butler,IND,"October 30, 1999"
36,Keith Askins,MIA,"November 1, 1999"
37,Bill Curley,GSW,"November 1, 1999"
38,Rusty LaRue,CHI,"November 1, 1999"
39,Matt Maloney,HOU,"November 1, 1999"
40,Mark Davis,GSW,"November 1, 1999"
41,Don MacLean,HOU,"November 1, 1999"
42,Jimmy Oliver,NYK,"November 1, 1999"
43,Paul Grant,MIL,"November 1, 1999"
44,Jason Miskiri,CHH,"November 8, 1999"
45,Wayne Turner,BOS,"November 8, 1999"
46,Rodrick Rhodes,PHI,"November 11, 1999"
47,Sam Jacobson,LAL,"November 12, 1999"
48,Marcus Brown,DET,"November 13, 1999"
49,Armen Gilliam,ORL,"November 15, 1999"
50,Benoit Benjamin,CLE,"November 18, 1999"
51,Derek Hood,CHH,"November 23, 1999"
52,Stanley Roberts,PHI,"November 24, 1999"
53,Joe Stephens,VAN,"November 30, 1999"
54,Damon Jones,GSW,"November 30, 1999"
55,Marty Conlon,BOS,"December 13, 1999"
56,Chris Carr,GSW,"December 16, 1999"
57,Randell Jackson,DAL,"December 20, 1999"
58,Earl Boykins,ORL,"December 20, 1999"
59,Lari Ketner,CHI,"December 20, 1999"
60,Gerald Brown,PHO,"December 21, 1999"
61,Jamel Thomas,BOS,"December 23, 1999"
62,Rusty LaRue,CHI,"December 29, 1999"
63,DeMarco Johnson,NYK,"December 29, 1999"
64,Tim Legler,GSW,"December 29, 1999"
65,Rusty LaRue,CHI,"December 29, 1999"
66,KornÃ©l DÃ¡vid,CHI,"January 3, 2000"
67,Jamel Thomas,GSW,"January 3, 2000"
68,Dedric Willoughby,CHI,"January 4, 2000"
69,Khalid Reeves,CHI,"January 4, 2000"
70,A.J. Bramlett,CLE,"January 5, 2000"
71,Marty Conlon,LAC,"January 5, 2000"
72,Rick Hughes,DAL,"January 5, 2000"
73,Ben Davis,PHO,"January 5, 2000"
74,Devin Gray,HOU,"January 5, 2000"
75,Mark Hendrickson,CLE,"January 5, 2000"
76,Damon Jones,DAL,"January 5, 2000"
77,Drew Barry,GSW,"January 5, 2000"
78,Pete Chilcutt,UTA,"January 7, 2000"
79,Ben Davis,PHO,"January 11, 2000"
80,Thomas Hamilton,HOU,"January 13, 2000"
81,Kiwane Garris,ORL,"January 16, 2000"
82,Jamel Thomas,GSW,"January 18, 2000"
83,Leon Smith,DAL,"February 3, 2000"
84,Chucky Brown,SAS,"February 4, 2000"
85,Haywoode Workman,MIL,"February 7, 2000"
86,Mirsad TÃ¼rkcan,NYK,"February 9, 2000"
87,Michael Cage,NJN,"February 14, 2000"
88,Bruce Bowen,CHI,"February 18, 2000"
89,Rex Walters,MIA,"February 23, 2000"
90,Reggie Jordan,WAS,"March 3, 2000"
91,Dennis Rodman,DAL,"March 8, 2000"
92,Donny Marshall,CLE,"March 12, 2000"
93,Sam Mack,GSW,"March 20, 2000"
94,Isaiah Rider,ATL,"March 20, 2000"
95,Mark West,PHO,"March 25, 2000"
96,Troy Hudson,LAC,"March 27, 2000"
97,Will Perdue,CHI,"June 26, 2000"
