,player,team_from,date
0,Moochie Norris,NOK,"July 5, 2006"
1,Nikoloz Tskitishvili,PHO,"July 5, 2006"
2,Othella Harrington,CHI,"July 7, 2006"
3,Arvydas Macijauskas,NOK,"July 12, 2006"
4,Andre Barrett,TOR,"July 13, 2006"
5,Anthony Roberson,MEM,"July 26, 2006"
6,Pavel Podkolzin,DAL,"August 4, 2006"
7,Zoran PlaniniÄ,NJN,"August 11, 2006"
8,Ime Udoka,NYK,"September 11, 2006"
9,Derek Anderson,MIA,"September 12, 2006"
10,Maurice Taylor,NYK,"September 29, 2006"
11,Devin Brown,NOK,"October 3, 2006"
12,Eric Chenowith,CHI,"October 6, 2006"
13,Kevinn Pinkney,WAS,"October 10, 2006"
14,Dijon Thompson,GSW,"October 12, 2006"
15,Kaniel Dickens,ATL,"October 23, 2006"
16,Stephen Graham,CLE,"October 24, 2006"
17,Loren Woods,SAC,"October 24, 2006"
18,Anthony Carter,DEN,"October 25, 2006"
19,Kasib Powell,ORL,"October 25, 2006"
20,Mike Harris,MIL,"October 25, 2006"
21,Justin Williams,SAC,"October 26, 2006"
22,Luke Jackson,BOS,"October 26, 2006"
23,Von Wafer,LAL,"October 26, 2006"
24,Lou Amundson,SAC,"October 26, 2006"
25,Andre Owens,UTA,"October 26, 2006"
26,Awvee Storey,NJN,"October 26, 2006"
27,Andre Brown,ATL,"October 26, 2006"
28,Ryan Bowen,HOU,"October 27, 2006"
29,Ha Seung-Jin,MIL,"October 28, 2006"
30,James White,IND,"October 30, 2006"
31,Jalen Rose,NYK,"October 30, 2006"
32,Luke Schenscher,CHI,"October 30, 2006"
33,Devin Green,LAL,"October 30, 2006"
34,Dajuan Wagner,GSW,"November 20, 2006"
35,Alan Anderson,CHA,"November 26, 2006"
36,Ivan McFarlin,PHI,"December 22, 2006"
37,Matt Freije,ATL,"December 28, 2006"
38,Cedric Bozeman,ATL,"January 3, 2007"
39,Andreas Glyniadakis,SEA,"January 4, 2007"
40,Chris McCray,MIL,"January 4, 2007"
41,Roger Powell,UTA,"January 4, 2007"
42,Steven Smith,PHI,"January 4, 2007"
43,Desmon Farmer,SEA,"January 4, 2007"
44,Anthony Roberson,GSW,"January 5, 2007"
45,Chris Webber,PHI,"January 11, 2007"
46,Maurice Taylor,SAC,"January 23, 2007"
47,Eddie Jones,MEM,"January 30, 2007"
48,Robert Hite,MIA,"February 1, 2007"
49,Julius Hodge,MIL,"February 7, 2007"
50,Will Conroy,MEM,"February 9, 2007"
51,Von Wafer,LAC,"February 28, 2007"
52,James Lang,WAS,"February 28, 2007"
53,Jason Hart,SAC,"March 1, 2007"
54,Will Conroy,LAC,"March 5, 2007"
55,Eric Williams,CHA,"March 16, 2007"
56,P.J. Tucker,TOR,"March 24, 2007"
57,Scott Padgett,MEM,"April 4, 2007"
58,Orien Greene,IND,"June 29, 2007"
59,Daniel Ewing,LAC,"June 29, 2007"
60,Brevin Knight,CHA,"June 30, 2007"
