,player,team_from,date
0,Ronnie Price,ORL,"July 2, 2014"
1,Jason Maxiell,ORL,"July 4, 2014"
2,Julyan Stone,TOR,"July 7, 2014"
3,Lamar Odom,NYK,"July 11, 2014"
4,John Salmons,ATL,"July 11, 2014"
5,Peyton Siva,DET,"July 14, 2014"
6,Josh Harrellson,DET,"July 14, 2014"
7,Ish Smith,PHO,"July 15, 2014"
8,Carlos Boozer,CHI,"July 15, 2014"
9,Lou Amundson,CHI,"July 15, 2014"
10,Ronnie Brewer,CHI,"July 15, 2014"
11,Mike James,CHI,"July 15, 2014"
12,Anthony Randolph,ORL,"July 15, 2014"
13,Kendall Marshall,LAL,"July 19, 2014"
14,Diante Garrett,TOR,"July 19, 2014"
15,Dwight Buycks,TOR,"July 21, 2014"
16,Shannon Brown,NYK,"July 23, 2014"
17,Rashard Lewis,DAL,"July 23, 2014"
18,Omri Casspi,NOP,"July 23, 2014"
19,Dionte Christmas,PHO,"July 24, 2014"
20,Hilton Armstrong,GSW,"July 30, 2014"
21,Melvin Ely,WAS,"July 30, 2014"
22,Carlos Delfino,LAC,"August 29, 2014"
23,Miroslav Raduljica,LAC,"August 29, 2014"
24,Jamaal Franklin,MEM,"August 31, 2014"
25,Hasheem Thabeet,PHI,"September 1, 2014"
26,Wayne Ellington,SAC,"September 3, 2014"
27,Jeremy Tyler,SAC,"September 6, 2014"
28,Scotty Hopson,SAC,"September 24, 2014"
29,Alonzo Gee,SAC,"September 25, 2014"
30,Chris Babb,BOS,"September 25, 2014"
31,Chris Johnson,BOS,"September 25, 2014"
32,John Lucas III,BOS,"September 29, 2014"
33,Malcolm Thomas,BOS,"September 29, 2014"
34,John Lucas III,BOS,"September 29, 2014"
35,Malcolm Thomas,BOS,"September 29, 2014"
36,Pierre Jackson,PHI,"September 30, 2014"
37,Vander Blue,WAS,"October 3, 2014"
38,David Stockton,WAS,"October 3, 2014"
39,Keith Bogans,PHI,"October 7, 2014"
40,Jarvis Varnado,PHI,"October 7, 2014"
41,Vernon Macklin,NOP,"October 9, 2014"
42,Michael Beasley,MEM,"October 9, 2014"
43,Kevin Murphy,UTA,"October 10, 2014"
44,Dee Bost,UTA,"October 10, 2014"
45,James Southerland,POR,"October 13, 2014"
46,Chris Johnson,MIA,"October 13, 2014"
47,Reggie Williams,MIA,"October 13, 2014"
48,Luke Hancock,MEM,"October 13, 2014"
49,John Holland,SAS,"October 13, 2014"
50,Chris Johnson,MIA,"October 13, 2014"
51,Reggie Williams,MIA,"October 13, 2014"
52,Joe Jackson,PHO,"October 14, 2014"
53,Casey Prather,PHO,"October 14, 2014"
54,Jamil Wilson,PHO,"October 14, 2014"
55,Chris Wright,MIL,"October 16, 2014"
56,Elijah Millsap,MIL,"October 16, 2014"
57,Daniel Orton,WAS,"October 16, 2014"
58,Dionte Christmas,NOP,"October 17, 2014"
59,Kim English,CHI,"October 18, 2014"
60,Ben Hansbrough,CHI,"October 18, 2014"
61,Solomon Jones,CHI,"October 18, 2014"
62,Sim Bhullar,SAC,"October 19, 2014"
63,Deonte Burton,SAC,"October 19, 2014"
64,Chris Crawford,CLE,"October 19, 2014"
65,Stephen Holt,CLE,"October 19, 2014"
