,player,team_from,date
0,Joey Graham,CLE,"December 9, 2011"
1,Jeremy Lin,GSW,"December 9, 2011"
2,Gilbert Arenas,ORL,"December 9, 2011"
3,Vince Carter,PHO,"December 9, 2011"
4,Gani Lawal,PHO,"December 9, 2011"
5,Jeff Ayres,IND,"December 10, 2011"
6,Chauncey Billups,NYK,"December 10, 2011"
7,Charlie Bell,GSW,"December 11, 2011"
8,Richard Hamilton,DET,"December 12, 2011"
9,James Posey,IND,"December 12, 2011"
10,Patrick Ewing,NOH,"December 13, 2011"
11,Zabian Dowdell,PHO,"December 13, 2011"
12,Baron Davis,CLE,"December 14, 2011"
13,Ish Smith,MEM,"December 14, 2011"
14,Mikki Moore,MEM,"December 15, 2011"
15,Travis Outlaw,NJN,"December 15, 2011"
16,Brandon Roy,POR,"December 15, 2011"
17,Andy Rautins,DAL,"December 15, 2011"
18,Keith Bogans,CHI,"December 16, 2011"
19,Jannero Pargo,CHI,"December 16, 2011"
20,Willie Warren,LAC,"December 19, 2011"
21,David Andersen,NOH,"December 19, 2011"
22,Steve Novak,SAS,"December 19, 2011"
23,Antonio McDyess,SAS,"December 19, 2011"
24,Ron Howard,MIL,"December 19, 2011"
25,Earl Barron,POR,"December 20, 2011"
26,JamesOn Curry,NJN,"December 20, 2011"
27,Mike Wilks,WAS,"December 21, 2011"
28,Larry Owens,WAS,"December 21, 2011"
29,Keith McLeod,UTA,"December 21, 2011"
30,Trey Gilder,UTA,"December 21, 2011"
31,Antonio Anderson,PHI,"December 21, 2011"
32,Dwayne Jones,PHI,"December 21, 2011"
33,Jake Voskuhl,DET,"December 21, 2011"
34,Mike Sweetney,BOS,"December 22, 2011"
35,Jamal Sampson,BOS,"December 22, 2011"
36,Manny Harris,CLE,"December 22, 2011"
37,Stephen Graham,NJN,"December 22, 2011"
38,MickaÃ«l PiÃ©trus,PHO,"December 22, 2011"
39,Gani Lawal,SAS,"December 22, 2011"
40,Pape Sy,ATL,"December 23, 2011"
41,Taylor Griffin,CHA,"December 23, 2011"
42,Melvin Ely,CHA,"December 23, 2011"
43,Michael Ruffin,DEN,"December 23, 2011"
44,Walter Sharpe,MEM,"December 23, 2011"
45,Bonzi Wells,MIN,"December 23, 2011"
46,Ime Udoka,NJN,"December 23, 2011"
47,Devin Green,NYK,"December 23, 2011"
48,Chris Hunter,NYK,"December 23, 2011"
49,Marcus Landry,PHO,"December 23, 2011"
50,Brian Butch,NOH,"December 23, 2011"
51,Marcus Cousin,HOU,"December 24, 2011"
52,Ben Uzoh,CHA,"December 24, 2011"
53,Eddie House,MIA,"December 24, 2011"
54,Nate Robinson,OKC,"December 24, 2011"
55,Brian Skinner,MEM,"December 29, 2011"
56,Lance Thomas,NOH,"December 31, 2011"
57,Garret Siler,PHO,"January 3, 2012"
58,Ike Diogu,SAS,"January 11, 2012"
59,Ish Smith,GSW,"January 13, 2012"
60,Dennis Horner,NJN,"January 18, 2012"
61,Donald Sloan,ATL,"January 26, 2012"
62,Trey Johnson,NOH,"January 27, 2012"
63,Courtney Fortson,LAC,"January 27, 2012"
64,Mike James,CHI,"January 28, 2012"
65,Larry Owens,NJN,"February 1, 2012"
66,Larry Hughes,ORL,"February 2, 2012"
67,Darington Hobson,MIL,"February 3, 2012"
68,DeMarre Carroll,DEN,"February 4, 2012"
69,Josh Davis,MEM,"February 6, 2012"
70,Earl Barron,GSW,"February 6, 2012"
71,Mychel Thompson,CLE,"February 6, 2012"
72,Jeff Adrien,HOU,"February 7, 2012"
73,Solomon Jones,LAC,"February 7, 2012"
74,Derrick Caracter,LAL,"February 7, 2012"
75,Mickell Gladness,MIA,"February 7, 2012"
76,Carldell Johnson,NOH,"February 7, 2012"
77,DaJuan Summers,NOH,"February 7, 2012"
78,Malcolm Thomas,SAS,"February 7, 2012"
79,Hamady N'Diaye,WAS,"February 7, 2012"
80,Keith Bogans,NJN,"February 14, 2012"
81,Renaldo Balkman,NYK,"February 17, 2012"
82,Armon Johnson,POR,"February 27, 2012"
83,Anthony Carter,TOR,"March 15, 2012"
84,Greg Oden,POR,"March 15, 2012"
85,Chris Johnson,POR,"March 15, 2012"
86,Terrence Williams,HOU,"March 16, 2012"
87,T.J. Ford,GSW,"March 18, 2012"
88,Jason Kapono,CLE,"March 18, 2012"
89,Ronny Turiaf,DEN,"March 18, 2012"
90,Derek Fisher,HOU,"March 19, 2012"
91,J.J. Hickson,SAC,"March 19, 2012"
92,AndrÃ©s Nocioni,PHI,"March 20, 2012"
93,Ryan Hollins,CLE,"March 20, 2012"
94,Mehmet Okur,POR,"March 21, 2012"
95,Ryan Reid,OKC,"March 21, 2012"
96,Boris Diaw,CHA,"March 21, 2012"
97,Sean Williams,DAL,"March 22, 2012"
98,Chris Wilcox,BOS,"March 23, 2012"
99,Rasual Butler,TOR,"March 23, 2012"
100,Roger Mason,WAS,"April 16, 2012"
101,Chris Johnson,NOH,"April 18, 2012"
102,Jermaine O'Neal,BOS,"April 19, 2012"
103,Henry Walker,NYK,"April 20, 2012"
104,Rashard Lewis,NOH,"June 30, 2012"
