,player,team_from,date
0,Elfrid Payton,NYK,"November 19, 2020"
1,Ersan Ilyasova,MIL,"November 19, 2020"
2,Quinn Cook,LAL,"November 19, 2020"
3,Kenny Wooten,NYK,"November 19, 2020"
4,Norvel Pelle,PHI,"November 19, 2020"
5,Marial Shayok,PHI,"November 20, 2020"
6,Ky Bowman,GSW,"November 20, 2020"
7,Keita Bates-Diop,DEN,"November 22, 2020"
8,Chimezie Metu,SAS,"November 22, 2020"
9,Khyri Thomas,ATL,"November 22, 2020"
10,Elie Okobo,PHO,"November 23, 2020"
11,Dewayne Dedmon,DET,"November 24, 2020"
12,Justin Patton,LAC,"November 25, 2020"
13,Jordan Bell,LAL,"November 25, 2020"
14,Dewan Hernandez,TOR,"November 26, 2020"
15,Rayjon Tucker,CLE,"November 28, 2020"
16,Nicolas Batum,CHO,"November 29, 2020"
17,Ray Spalding,CHO,"November 29, 2020"
18,Zhaire Smith,DET,"November 30, 2020"
19,Josh Gray,OKC,"December 1, 2020"
20,Joakim Noah,LAC,"December 1, 2020"
21,Zylan Cheatham,OKC,"December 2, 2020"
22,Melvin Frazier,OKC,"December 5, 2020"
23,Jaylen Hoard,OKC,"December 6, 2020"
24,Justin Robinson,PHI,"December 7, 2020"
25,Lamine Diane,PHI,"December 7, 2020"
26,Jacob Evans,NYK,"December 9, 2020"
27,J.J. Barea,DAL,"December 10, 2020"
28,Quinton Rose,SAC,"December 10, 2020"
29,Kylor Kelley,SAS,"December 11, 2020"
30,Jordan Bowden,BRK,"December 11, 2020"
31,Nate Sestina,BRK,"December 11, 2020"
32,Mario Hezonja,MEM,"December 11, 2020"
33,Skal Labissi̬re,NYK,"December 11, 2020"
34,Khyri Thomas,SAS,"December 12, 2020"
35,Andrew White,NYK,"December 12, 2020"
36,Zavier Simpson,LAL,"December 13, 2020"
37,Kevon Harris,LAL,"December 13, 2020"
38,Tres Tinkle,LAL,"December 13, 2020"
39,Tyler Hall,NYK,"December 14, 2020"
40,Noah Vonleh,CHI,"December 14, 2020"
41,LiAngelo Ball,DET,"December 14, 2020"
42,Anthony Lamb,DET,"December 14, 2020"
43,Ky Bowman,LAC,"December 14, 2020"
44,Malik Fitts,LAC,"December 14, 2020"
45,Jordan Ford,LAC,"December 14, 2020"
46,Ryan Broekhoff,PHI,"December 14, 2020"
47,Derrick Walton Jr.,PHI,"December 14, 2020"
48,Marko Guduric,MEM,"December 15, 2020"
49,Jahlil Tripp,MEM,"December 15, 2020"
50,Nigel Williams-Goss,UTA,"December 15, 2020"
51,Zhaire Smith,MEM,"December 16, 2020"
52,Christian Vital,MEM,"December 16, 2020"
53,Jerian Grant,HOU,"December 16, 2020"
54,Trevelin Queen,HOU,"December 16, 2020"
55,Paul Eboua,MIA,"December 16, 2020"
56,Breein Tyree,MIA,"December 16, 2020"
57,James Young,NYK,"December 16, 2020"
58,Louis King,NYK,"December 17, 2020"
59,Kaiser Gates,BRK,"December 17, 2020"
60,E.J. Montgomery,MIL,"December 17, 2020"
61,Justin Patton,MIL,"December 17, 2020"
62,Trevon Bluiett,UTA,"December 18, 2020"
63,Romaro Gill,UTA,"December 18, 2020"
64,Tre Scott,UTA,"December 18, 2020"
65,Jake Toolson,UTA,"December 18, 2020"
66,Malcolm Miller,UTA,"December 18, 2020"
67,Freddie Gillespie,DAL,"December 18, 2020"
68,Devonte Patterson,DAL,"December 18, 2020"
69,Dwayne Sutton,GSW,"December 18, 2020"
