,player,team_from,date
0,Caron Butler,SAC,"July 4, 2016"
1,Duje Dukan,SAC,"July 4, 2016"
2,Spencer Dinwiddie,CHI,"July 7, 2016"
3,Joel Anthony,DET,"July 7, 2016"
4,Cameron Bairstow,DET,"July 7, 2016"
5,Cliff Alexander,POR,"July 8, 2016"
6,JaVale McGee,DAL,"July 8, 2016"
7,Andrew Goudelock,HOU,"July 9, 2016"
8,Tim Duncan,SAS,"July 12, 2016"
9,Toney Douglas,NOP,"July 12, 2016"
10,Lamar Patterson,ATL,"July 12, 2016"
11,Tony Wroten,MEM,"July 12, 2016"
12,Devyn Marble,LAC,"July 15, 2016"
13,Sasha Kaun,PHI,"July 17, 2016"
14,Branden Dawson,LAC,"July 17, 2016"
15,Amar'e Stoudemire,NYK,"July 26, 2016"
16,Shayne Whittington,IND,"July 29, 2016"
17,Dahntay Jones,CLE,"July 30, 2016"
18,Kendall Marshall,UTA,"August 26, 2016"
19,John Holland,BOS,"August 31, 2016"
20,Carl Landry,PHI,"August 31, 2016"
21,Tibor PleiÃ,PHI,"August 31, 2016"
22,Alec Brown,PHO,"September 17, 2016"
23,Tomislav ZubÄiÄ,OKC,"September 17, 2016"
24,Alec Brown,PHO,"September 17, 2016"
25,Xavier Henry,MIL,"September 20, 2016"
26,Marcus Denmon,SAS,"September 23, 2016"
27,Kevin Garnett,MIN,"September 24, 2016"
28,Ryan Richards,SAS,"September 29, 2016"
29,Richard Solomon,ATL,"October 1, 2016"
30,Eric Moreland,CLE,"October 3, 2016"
31,Chris Copeland,NOP,"October 3, 2016"
32,Vince Hunter,CHI,"October 4, 2016"
33,Jabari Brown,MIL,"October 5, 2016"
34,Tony Wroten,MEM,"October 7, 2016"
35,Scott Wood,GSW,"October 9, 2016"
36,Elgin Cook,GSW,"October 9, 2016"
37,Gracin Bakumanya,PHO,"October 10, 2016"
38,Derek Cooke,PHO,"October 10, 2016"
39,Shaquille Harrison,PHO,"October 10, 2016"
40,Zach Auguste,LAL,"October 12, 2016"
41,Julian Jacobs,LAL,"October 12, 2016"
42,Travis Wear,LAL,"October 12, 2016"
43,Eric Dawson,UTA,"October 13, 2016"
44,Quincy Ford,UTA,"October 13, 2016"
45,Marcus Paige,UTA,"October 13, 2016"
46,Dorell Wright,LAC,"October 13, 2016"
47,Xavier Munford,LAC,"October 13, 2016"
48,Luis Montero,POR,"October 15, 2016"
49,Toney Douglas,CLE,"October 15, 2016"
50,D.J. Kennedy,DEN,"October 15, 2016"
51,JaKarr Sampson,DEN,"October 15, 2016"
52,Axel Toupane,DEN,"October 15, 2016"
53,Cliff Alexander,ORL,"October 16, 2016"
54,Branden Dawson,ORL,"October 16, 2016"
55,Kevin Murphy,ORL,"October 16, 2016"
56,Jameel Warney,DAL,"October 16, 2016"
57,Isaiah Taylor,HOU,"October 16, 2016"
58,Alex Caruso,OKC,"October 17, 2016"
59,Nikola JovanoviÄ,DET,"October 17, 2016"
60,Alex Poythress,IND,"October 17, 2016"
61,Nick Zeisloft,IND,"October 17, 2016"
62,Stefan JankoviÄ,MIA,"October 17, 2016"
