,player,team_from,date
0,Raul Neto,UTA,"July 1, 2019"
1,George Hill,MIL,"July 1, 2019"
2,Frank Mason III,SAC,"July 4, 2019"
3,Avery Bradley,MEM,"July 6, 2019"
4,Ryan Anderson,MIA,"July 6, 2019"
5,Shaquille Harrison,CHI,"July 6, 2019"
6,Sindarius Thornwell,LAC,"July 6, 2019"
7,Tyrone Wallace,LAC,"July 6, 2019"
8,Walt Lemon Jr.,CHI,"July 6, 2019"
9,Timofey Mozgov,ORL,"July 6, 2019"
10,Dairis BertÄns,NOP,"July 7, 2019"
11,Jonathon Simmons,WAS,"July 7, 2019"
12,Kyle Korver,PHO,"July 8, 2019"
13,Jon Leuer,MIL,"July 9, 2019"
14,Shaun Livingston,GSW,"July 10, 2019"
15,Guerschon Yabusele,BOS,"July 10, 2019"
16,Jaylen Adams,ATL,"July 13, 2019"
17,Christian Wood,NOP,"July 15, 2019"
18,J.R. Smith,CLE,"July 15, 2019"
19,Julian Washburn,GSW,"July 17, 2019"
20,Kostas Antetokounmpo,DAL,"July 19, 2019"
21,B.J. Johnson,SAC,"July 19, 2019"
22,Bonzie Colson,MIL,"July 21, 2019"
23,Donte Grantham,OKC,"July 25, 2019"
24,Daryl Macon,DAL,"July 26, 2019"
25,Yante Maten,MIA,"July 29, 2019"
26,Thomas Welsh,DEN,"July 31, 2019"
27,Chris Chiozza,HOU,"July 31, 2019"
28,Deyonta Davis,HOU,"July 31, 2019"
29,Patrick Patterson,OKC,"August 1, 2019"
30,Jordan Loyd,TOR,"August 2, 2019"
31,Tarik Phillip,WAS,"August 15, 2019"
32,Tarik Phillip,WAS,"August 15, 2019"
33,Dwight Howard,MEM,"August 24, 2019"
34,Aric Holman,LAL,"August 26, 2019"
35,Levi Randolph,CLE,"September 3, 2019"
36,Malik Newman,CLE,"September 4, 2019"
37,Antonio Blakeney,CHI,"September 9, 2019"
38,Kellen Dunham,WAS,"September 24, 2019"
39,Jeff Ledbetter,SAS,"September 25, 2019"
40,Alex Robinson,CLE,"September 25, 2019"
41,William McDowell-White,HOU,"September 26, 2019"
42,Mike Cobbins,WAS,"September 26, 2019"
43,Markel Brown,OKC,"September 27, 2019"
44,Bryce Brown,BOS,"September 28, 2019"
45,Matt Farrell,SAS,"September 30, 2019"
46,John Bohannon,BOS,"September 30, 2019"
47,Jordan Caroline,LAL,"October 4, 2019"
48,Sir'Dominic Pointer,CLE,"October 4, 2019"
49,Hassani Gravett,ORL,"October 6, 2019"
50,Elijah Millsap,DEN,"October 7, 2019"
51,Jorge GutiÃ©rrez,DEN,"October 7, 2019"
52,Devyn Marble,GSW,"October 7, 2019"
53,Ray Spalding,ATL,"October 8, 2019"
54,Anthony Bennett,HOU,"October 9, 2019"
55,JaKeenan Gant,IND,"October 9, 2019"
56,Thomas Welsh,CHO,"October 10, 2019"
57,Eric Mika,SAC,"October 11, 2019"
58,Isaiah Pineiro,SAC,"October 11, 2019"
