,player,team_from,date
0,Manny Harris,CLE,"July 1, 2012"
1,Jamario Moon,CHA,"July 1, 2012"
2,Shawne Williams,POR,"July 11, 2012"
3,Brendan Haywood,DAL,"July 12, 2012"
4,Darko MiliÄiÄ,MIN,"July 12, 2012"
5,Elton Brand,PHI,"July 12, 2012"
6,Luis Scola,HOU,"July 13, 2012"
7,Martell Webster,MIN,"July 13, 2012"
8,Darryl Watkins,PHI,"July 16, 2012"
9,Hassan Whiteside,SAC,"July 16, 2012"
10,Jordan Farmar,ATL,"July 16, 2012"
11,Ryan Gomes,LAC,"July 17, 2012"
12,Chris Andersen,DEN,"July 17, 2012"
13,Andray Blatche,WAS,"July 17, 2012"
14,Jon Leuer,HOU,"July 18, 2012"
15,Jerome Jordan,HOU,"July 18, 2012"
16,Dan Gadzuric,POR,"July 19, 2012"
17,E'Twaun Moore,HOU,"July 24, 2012"
18,Josh Harrellson,HOU,"August 15, 2012"
19,Jerome Dyson,PHO,"August 15, 2012"
20,Brad Miller,PHO,"August 15, 2012"
21,Derrick Byars,SAS,"August 21, 2012"
22,Sean Williams,HOU,"August 27, 2012"
23,Jordan Williams,ATL,"September 17, 2012"
24,D.J. Kennedy,MEM,"September 18, 2012"
25,Keyon Dooling,BOS,"September 20, 2012"
26,Courtney Fortson,HOU,"September 25, 2012"
27,Sherron Collins,SAS,"October 5, 2012"
28,Jeff Adrien,CHA,"October 6, 2012"
29,Courtney Fortson,LAC,"October 7, 2012"
30,D.J. Kennedy,MEM,"October 7, 2012"
31,Xavier Silas,PHI,"October 9, 2012"
32,Mikki Moore,PHI,"October 10, 2012"
33,Keith Benson,ATL,"October 11, 2012"
34,Kelenna Azubuike,CLE,"October 14, 2012"
35,Andre Emmett,CHI,"October 15, 2012"
36,Carldell Johnson,ATL,"October 17, 2012"
37,Kyrylo Fesenko,CHI,"October 18, 2012"
38,Dan Gadzuric,PHI,"October 18, 2012"
39,Trey Gilder,UTA,"October 18, 2012"
40,Brian Butch,UTA,"October 18, 2012"
41,Jermaine Taylor,MIN,"October 19, 2012"
42,Mickell Gladness,MIA,"October 21, 2012"
43,Chris Douglas-Roberts,LAL,"October 22, 2012"
44,Chris Wright,TOR,"October 22, 2012"
45,Walker Russell,OKC,"October 22, 2012"
46,Sundiata Gaines,IND,"October 22, 2012"
47,Blake Ahearn,IND,"October 22, 2012"
48,Jonny Flynn,DET,"October 22, 2012"
49,Terrence Williams,DET,"October 22, 2012"
50,Christian Eyenga,ORL,"October 23, 2012"
51,Armon Johnson,ORL,"October 23, 2012"
52,Kyle Weaver,MEM,"October 23, 2012"
53,Derrick Brown,SAS,"October 23, 2012"
54,Eddy Curry,SAS,"October 23, 2012"
55,Ike Diogu,PHO,"October 24, 2012"
56,Solomon Jones,PHO,"October 24, 2012"
57,Marko JariÄ,CHI,"October 24, 2012"
58,Anthony Carter,DEN,"October 25, 2012"
59,Ben Uzoh,DEN,"October 25, 2012"
60,Chris Quinn,UTA,"October 25, 2012"
61,Darnell Jackson,UTA,"October 25, 2012"
62,Rob Kurz,PHI,"October 26, 2012"
63,Hamady N'Diaye,SAC,"October 26, 2012"
