,player,team_from,date
0,Terry Dehere,LAC,"July 2, 1997"
1,Dino Radja,BOS,"July 16, 1997"
2,Ricky Pierce,CHH,"August 19, 1997"
3,Rumeal Robinson,POR,"August 23, 1997"
4,Tom Hammonds,DEN,"September 5, 1997"
5,Gary Grant,SAC,"September 5, 1997"
6,Anthony Avent,SAC,"October 5, 1997"
7,Martin Lewis,TOR,"October 6, 1997"
8,Mark Blount,SEA,"October 7, 1997"
9,Eric Mobley,VAN,"October 8, 1997"
10,Mark Hendrickson,VAN,"October 8, 1997"
11,Chris King,ATL,"October 8, 1997"
12,KornÃ©l DÃ¡vid,CHI,"October 8, 1997"
13,Randolph Childress,DET,"October 9, 1997"
14,Gerald Madkins,IND,"October 13, 1997"
15,William Cunningham,PHO,"October 13, 1997"
16,Ed Stokes,SEA,"October 15, 1997"
17,Adrian Caldwell,CLE,"October 16, 1997"
18,John Coker,TOR,"October 17, 1997"
19,Charles Shackleford,WAS,"October 17, 1997"
20,Drew Barry,ATL,"October 19, 1997"
21,Rick Brunson,ORL,"October 20, 1997"
22,DeJuan Wheat,LAL,"October 20, 1997"
23,Thomas Hamilton,CHI,"October 21, 1997"
24,Michael McDonald,MIL,"October 22, 1997"
25,William Cunningham,BOS,"October 26, 1997"
26,Sherman Douglas,DEN,"October 27, 1997"
27,Scott Brooks,BOS,"October 27, 1997"
28,Antonio Lang,GSW,"October 27, 1997"
29,Larry Stewart,GSW,"October 27, 1997"
30,Acie Earl,MIL,"October 28, 1997"
31,Rich Manning,LAC,"October 28, 1997"
32,Robert Werdann,NJN,"October 28, 1997"
33,Nate Huffman,LAC,"October 28, 1997"
34,Kiwane Garris,LAC,"October 28, 1997"
35,Brandon Williams,TOR,"October 28, 1997"
36,Litterial Green,VAN,"October 28, 1997"
37,Mikki Moore,MIN,"October 28, 1997"
38,Matt Steigenga,ATL,"October 28, 1997"
39,Stephen Jackson,PHO,"October 30, 1997"
40,Randy Livingston,HOU,"October 30, 1997"
41,Rusty LaRue,CHI,"October 30, 1997"
42,Ben Davis,MIA,"October 30, 1997"
43,Donny Marshall,CLE,"October 30, 1997"
44,Jimmy Oliver,WAS,"November 1, 1997"
45,Adrian Caldwell,DAL,"November 3, 1997"
46,Donald Whiteside,ATL,"November 7, 1997"
47,Carl Thomas,GSW,"November 7, 1997"
48,Sean Higgins,POR,"November 14, 1997"
49,Tim Breaux,MIL,"November 16, 1997"
50,Tim Breaux,MIL,"November 18, 1997"
51,Tim Kempton,ORL,"November 20, 1997"
52,Randy Livingston,ATL,"November 20, 1997"
53,Derek Grimm,SAC,"November 21, 1997"
54,Todd Day,MIA,"November 22, 1997"
55,Clifford Rozier,MIN,"November 25, 1997"
56,Ed Stokes,TOR,"December 1, 1997"
57,Greg Graham,CLE,"December 2, 1997"
58,Jeff Nordgaard,MIL,"December 12, 1997"
59,Steve Scheffler,DEN,"December 15, 1997"
60,Kevin Ollie,DAL,"December 17, 1997"
61,Carl Thomas,ORL,"December 23, 1997"
62,Troy Hudson,UTA,"December 28, 1997"
63,Tim Kempton,TOR,"January 5, 1998"
64,Donald Royal,ORL,"January 5, 1998"
65,Pete Myers,NYK,"January 6, 1998"
66,Charles Smith,SAS,"January 6, 1998"
67,Tony Smith,MIL,"January 7, 1998"
68,Brooks Thompson,PHO,"January 7, 1998"
69,Bob McCann,TOR,"January 12, 1998"
70,Doug Edwards,VAN,"January 12, 1998"
71,Marcus Brown,VAN,"January 12, 1998"
72,Xavier McDaniel,NJN,"January 24, 1998"
73,Gerald Madkins,MIA,"January 27, 1998"
74,Tony Dumas,CLE,"January 29, 1998"
75,Dickey Simpkins,GSW,"February 17, 1998"
76,Kevin Salvadori,SAC,"February 20, 1998"
77,Yinka Dare,ORL,"February 22, 1998"
78,Cory Alexander,SAS,"February 27, 1998"
79,George ZÃ­dek,DEN,"February 28, 1998"
80,Spud Webb,ORL,"March 1, 1998"
81,David Vaughn,CHI,"March 2, 1998"
82,Dontonio Wingfield,POR,"March 5, 1998"
83,Kiwane Garris,DEN,"March 13, 1998"
84,William Cunningham,PHI,"March 18, 1998"
85,Shawn Respert,TOR,"March 19, 1998"
86,Vincent Askew,POR,"March 24, 1998"
87,Tony Farmer,CHH,"March 24, 1998"
88,George ZÃ­dek,SEA,"March 27, 1998"
89,Shawnelle Scott,CLE,"June 29, 1998"
90,Mark Price,ORL,"June 30, 1998"
