,player,team_from,date
0,Lester Hudson,MEM,"July 1, 2010"
1,Taylor Griffin,PHO,"July 26, 2010"
2,Malik Hairston,SAS,"July 29, 2010"
3,Kyle Weaver,OKC,"July 30, 2010"
4,Delonte West,MIN,"August 3, 2010"
5,Rasheed Wallace,BOS,"August 10, 2010"
6,Dwayne Jones,TOR,"August 13, 2010"
7,Coby Karl,DEN,"August 14, 2010"
8,Brian Butch,DEN,"August 14, 2010"
9,Sean May,NJN,"September 7, 2010"
10,Oliver Lafayette,BOS,"September 24, 2010"
11,J.R. Giddens,SAC,"October 4, 2010"
12,Jannero Pargo,NOH,"October 5, 2010"
13,Chris Richard,CHI,"October 6, 2010"
14,Eddie Gill,NJN,"October 6, 2010"
15,Kenny Thomas,SAC,"October 11, 2010"
16,Cedric Jackson,CLE,"October 13, 2010"
17,Marcus Landry,SAC,"October 15, 2010"
18,Antonio Anderson,HOU,"October 18, 2010"
19,Mike Harris,HOU,"October 18, 2010"
20,Danny Green,CLE,"October 19, 2010"
21,Ronald Dupree,TOR,"October 19, 2010"
22,Jason Hart,MIN,"October 20, 2010"
23,Shavlik Randolph,MIA,"October 20, 2010"
24,Mario West,BOS,"October 20, 2010"
25,Sean Marks,WAS,"October 21, 2010"
26,Othyus Jeffers,UTA,"October 21, 2010"
27,Adam Morrison,WAS,"October 21, 2010"
28,Kyle Weaver,CHI,"October 21, 2010"
29,Damien Wilkins,MEM,"October 21, 2010"
30,Sean Williams,DAL,"October 21, 2010"
31,Chris Quinn,PHI,"October 21, 2010"
32,Josh Davis,MEM,"October 21, 2010"
33,Jeff Ayres,POR,"October 25, 2010"
34,Brian Skinner,MIL,"October 25, 2010"
35,Jake Voskuhl,LAC,"October 25, 2010"
36,Bobby Simmons,SAS,"November 5, 2010"
37,Maurice Ager,MIN,"November 11, 2010"
38,Garrett Temple,SAS,"November 11, 2010"
39,Joe Alexander,NOH,"November 13, 2010"
40,Alonzo Gee,SAS,"November 16, 2010"
41,Lester Hudson,WAS,"November 22, 2010"
42,Danny Green,SAS,"November 23, 2010"
43,Jerry Stackhouse,MIA,"November 23, 2010"
44,Antoine Wright,SAC,"November 29, 2010"
45,Acie Law,MEM,"December 4, 2010"
46,Jeff Adrien,GSW,"December 9, 2010"
47,Alonzo Gee,WAS,"December 20, 2010"
48,Earl Barron,PHO,"December 21, 2010"
49,Jawad Williams,CLE,"December 27, 2010"
50,Jarron Collins,LAC,"January 3, 2011"
51,Sundiata Gaines,MIN,"January 4, 2011"
52,Rodney Carney,GSW,"January 4, 2011"
53,John Lucas III,CHI,"January 4, 2011"
54,Pops Mensah-Bonsu,NOH,"January 4, 2011"
55,Lester Hudson,WAS,"January 5, 2011"
56,Ronald Dupree,TOR,"January 5, 2011"
57,Damien Wilkins,ATL,"January 5, 2011"
58,Ime Udoka,SAS,"January 5, 2011"
59,Steve Novak,DAL,"January 5, 2011"
60,Brian Skinner,MIL,"January 5, 2011"
61,Peja StojakoviÄ,TOR,"January 20, 2011"
62,Jason Williams,ORL,"January 26, 2011"
63,Sundiata Gaines,TOR,"January 26, 2011"
64,Sherron Collins,CHA,"February 24, 2011"
65,Dominic McGuire,CHA,"February 24, 2011"
66,Derrick Brown,CHA,"February 24, 2011"
67,Leon Powe,CLE,"February 24, 2011"
68,Jared Jeffries,HOU,"February 25, 2011"
69,Mike Bibby,WAS,"February 28, 2011"
70,Kelenna Azubuike,NYK,"February 28, 2011"
71,Rasual Butler,LAC,"February 28, 2011"
72,Troy Murphy,GSW,"February 28, 2011"
73,Morris Peterson,CHA,"February 28, 2011"
74,Carlos Arroyo,MIA,"March 1, 2011"
75,Corey Brewer,NYK,"March 1, 2011"
76,Al Thornton,WAS,"March 1, 2011"
77,Eddy Curry,MIN,"March 1, 2011"
78,Sean Marks,CHA,"March 3, 2011"
79,Luther Head,SAC,"March 19, 2011"
80,Quinton Ross,NJN,"March 31, 2011"
81,Cartier Martin,WAS,"April 6, 2011"
82,DeMarre Carroll,HOU,"April 11, 2011"
83,Jermaine Taylor,SAC,"June 14, 2011"
84,Jeff Adrien,GSW,"June 30, 2011"
