,player,team_from,date
0,Jontay Porter,MEM,"July 30, 2021"
1,Norvel Pelle,NYK,"July 31, 2021"
2,Deividas Sirvydis,DET,"July 31, 2021"
3,Cory Joseph,DET,"July 31, 2021"
4,Tyler Cook,DET,"July 31, 2021"
5,Matt Thomas,UTA,"August 1, 2021"
6,Paul Watson,TOR,"August 3, 2021"
7,Rodney Hood,TOR,"August 3, 2021"
8,DeAndre' Bembry,TOR,"August 3, 2021"
9,George Hill,PHI,"August 3, 2021"
10,Aron Baynes,TOR,"August 4, 2021"
11,Alfonzo McKinnie,LAL,"August 4, 2021"
12,Alen SmailagiÄ,GSW,"August 4, 2021"
13,Caleb Homesley,WAS,"August 5, 2021"
14,Kemba Walker,OKC,"August 6, 2021"
15,Rodney McGruder,DET,"August 6, 2021"
16,Caleb Martin,CHO,"August 7, 2021"
17,Dwayne Bacon,ORL,"August 8, 2021"
18,Justin James,SAC,"August 15, 2021"
19,Rayjon Tucker,PHI,"August 18, 2021"
20,Amida Brimah,IND,"August 24, 2021"
21,Sean McDermott,MEM,"August 25, 2021"
22,Ty-Shon Alexander,PHO,"August 26, 2021"
23,Nate Hinton,DAL,"August 27, 2021"
24,Anthony Tolliver,PHI,"August 27, 2021"
25,Rajon Rondo,MEM,"August 28, 2021"
26,Alize Johnson,BRK,"September 3, 2021"
27,E.J. Onu,DAL,"September 3, 2021"
28,Chandler Hutchison,SAS,"September 4, 2021"
29,Yogi Ferrell,LAC,"September 5, 2021"
30,DeAndre Jordan,DET,"September 6, 2021"
31,Jahlil Okafor,BRK,"September 9, 2021"
32,Damyean Dotson,CLE,"September 10, 2021"
33,Josh Hall,OKC,"September 12, 2021"
34,Marc Gasol,MEM,"September 15, 2021"
35,Tre Scott,CLE,"September 15, 2021"
36,Jarrell Brantley,UTA,"September 16, 2021"
37,Tyler Bey,HOU,"September 17, 2021"
38,Daniel Oturu,MEM,"September 23, 2021"
39,Carsen Edwards,MEM,"September 23, 2021"
40,Jordan Ford,LAC,"September 23, 2021"
41,Mamadi Diakite,MIL,"September 24, 2021"
42,Charlie Brown,OKC,"September 26, 2021"
43,Elijah Bryant,MIL,"September 26, 2021"
44,Anthony Tarke,DET,"September 27, 2021"
45,Deividas Sirvydis,DET,"September 29, 2021"
46,Haywood Highsmith,PHI,"September 30, 2021"
47,Justin James,UTA,"October 1, 2021"
48,Nate Renfro,SAS,"October 2, 2021"
49,Aric Holman,SAS,"October 2, 2021"
50,Luka Vildoza,NYK,"October 3, 2021"
51,Khyri Thomas,HOU,"October 6, 2021"
52,Sekou Doumbouya,HOU,"October 7, 2021"
53,Jon Teske,ORL,"October 7, 2021"
54,A.J. Lawson,ATL,"October 7, 2021"
55,D.J. Carton,CHO,"October 8, 2021"
