,player,team_from,date
0,Alan Williams,PHO,"July 2, 2018"
1,Al Jefferson,IND,"July 2, 2018"
2,Aaron Jackson,HOU,"July 5, 2018"
3,Alex Poythress,IND,"July 6, 2018"
4,Kyle Collinsworth,DAL,"July 6, 2018"
5,Nigel Hayes,SAC,"July 7, 2018"
6,Jonas Jerebko,UTA,"July 7, 2018"
7,Dwight Buycks,DET,"July 7, 2018"
8,Dwight Howard,BRK,"July 7, 2018"
9,Eric Moreland,DET,"July 8, 2018"
10,Sean Kilpatrick,CHI,"July 12, 2018"
11,Jalen Jones,DAL,"July 13, 2018"
12,Julyan Stone,CHI,"July 14, 2018"
13,Paul Zipser,CHI,"July 14, 2018"
14,Kadeem Allen,BOS,"July 15, 2018"
15,Troy Williams,NYK,"July 16, 2018"
16,Kendrick Perkins,CLE,"July 17, 2018"
17,Isaiah Whitehead,DEN,"July 17, 2018"
18,Alfonzo McKinnie,TOR,"July 17, 2018"
19,Georgios Papagiannis,POR,"July 18, 2018"
20,Jaylen Morris,ATL,"July 19, 2018"
21,Malik Newman,LAL,"July 19, 2018"
22,Myke Henry,MEM,"July 20, 2018"
23,Antonius Cleveland,ATL,"July 21, 2018"
24,Monte Morris,DEN,"July 25, 2018"
25,C.J. Williams,LAC,"July 27, 2018"
26,Carmelo Anthony,ATL,"July 30, 2018"
27,Rodney Purvis,BOS,"July 30, 2018"
28,Brandon Paul,SAS,"July 31, 2018"
29,Brandon Jennings,MIL,"August 1, 2018"
30,Okaro White,CLE,"August 5, 2018"
31,Chinanu Onuaku,DAL,"August 6, 2018"
32,Terry Larrier,DAL,"August 9, 2018"
33,David Stockton,UTA,"August 14, 2018"
34,Mangok Mathiang,CHO,"August 15, 2018"
35,R.J. Hunter,HOU,"August 17, 2018"
36,Kobi Simmons,MEM,"August 28, 2018"
37,DeAndre Liggins,NOP,"August 31, 2018"
38,Kyle Singler,OKC,"August 31, 2018"
39,Dakari Johnson,MEM,"August 31, 2018"
40,Luol Deng,LAL,"September 1, 2018"
41,Scoochie Smith,CLE,"September 14, 2018"
42,Isaac Hamilton,CLE,"September 14, 2018"
43,Jordan Barnett,MIL,"September 17, 2018"
44,Brandon McCoy,MIL,"September 17, 2018"
45,Travis Trice,MIL,"September 18, 2018"
46,Emeka Okafor,NOP,"September 19, 2018"
47,JaCorey Williams,CLE,"September 19, 2018"
48,James Young,MIL,"September 20, 2018"
49,Ike Nwamu,MIL,"September 20, 2018"
50,Robert Johnson,MIL,"September 20, 2018"
51,Julian Washburn,SAS,"September 20, 2018"
52,Amida Brimah,SAS,"September 20, 2018"
53,Deyonta Davis,SAC,"September 22, 2018"
54,Olivier Hanlan,SAS,"September 23, 2018"
55,Scottie Lindsey,DET,"September 24, 2018"
56,Gabe York,ORL,"September 27, 2018"
57,Brandon Austin,SAC,"September 30, 2018"
58,Justin Bibbs,BOS,"October 1, 2018"
59,Tyrius Walker,NYK,"October 2, 2018"
60,Cole Aldrich,ATL,"October 2, 2018"
61,Taren Sullivan,SAC,"October 2, 2018"
62,Trey Lewis,UTA,"October 3, 2018"
63,Phillip Carr,NYK,"October 3, 2018"
64,John Jenkins,NYK,"October 4, 2018"
65,Gabe Vincent,SAC,"October 4, 2018"
66,Billy Garrett,NYK,"October 5, 2018"
67,Malik Newman,MIA,"October 6, 2018"
68,Marcus Lee,MIA,"October 6, 2018"
69,Paul Watson,NYK,"October 6, 2018"
70,Chris McCullough,DET,"October 7, 2018"
71,Jamel Artis,SAC,"October 7, 2018"
72,Jalen Jones,DAL,"October 8, 2018"
73,Codi Miller-McIntyre,DAL,"October 8, 2018"
74,Emanuel Terry,DEN,"October 8, 2018"
75,Rob Gray,HOU,"October 8, 2018"
76,Joel Berry,LAL,"October 8, 2018"
77,Jeffrey Carroll,LAL,"October 8, 2018"
78,Ismaila Kane,MEM,"October 8, 2018"
79,Isaac Humphries,ATL,"October 9, 2018"
80,Nick King,BOS,"October 9, 2018"
81,Jeff Roberson,BOS,"October 9, 2018"
82,Desi Rodriguez,LAC,"October 9, 2018"
83,Bryce Alford,OKC,"October 10, 2018"
84,K.J. McDaniels,OKC,"October 10, 2018"
85,Richard Solomon,OKC,"October 10, 2018"
86,Levi Randolph,CLE,"October 10, 2018"
87,Anthony Brown,PHI,"October 10, 2018"
88,Norvel Pelle,PHI,"October 10, 2018"
89,B.J. Johnson,ORL,"October 10, 2018"
90,Ding Yanyuhang,DAL,"October 10, 2018"
91,Josh Huestis,SAS,"October 11, 2018"
92,Charles Cooke,MIA,"October 11, 2018"
93,DeAndre Liggins,MIA,"October 11, 2018"
94,Jaylen Barford,CHO,"October 11, 2018"
95,Isaiah Wilkins,CHO,"October 11, 2018"
96,Shabazz Muhammad,MIL,"October 11, 2018"
97,Omari Johnson,IND,"October 11, 2018"
98,Elijah Stewart,IND,"October 11, 2018"
99,Jordan McLaughlin,BRK,"October 11, 2018"
100,Nuni Omot,BRK,"October 11, 2018"
101,Donte Ingram,DAL,"October 11, 2018"
102,Rashad Vaughn,DAL,"October 11, 2018"
103,Will Cherry,GSW,"October 11, 2018"
104,Tyler Ulis,GSW,"October 12, 2018"
105,Kendrick Nunn,GSW,"October 12, 2018"
106,Danuel House,GSW,"October 12, 2018"
107,Deyonta Davis,GSW,"October 12, 2018"
108,DJ Hogg,PHI,"October 12, 2018"
109,Matt Farrell,PHI,"October 12, 2018"
110,Devin Davis,ORL,"October 12, 2018"
