,player,team_from,date
129,Kyle Mangas,IND,"October 18, 2023"
130,Yuri Collins,GSW,"October 18, 2023"
131,Au'Diese Toney,DEN,"October 18, 2023"
132,Jamorko Pickett,DEN,"October 18, 2023"
133,Amida Brimah,DEN,"October 18, 2023"
134,Kahlil Whitney,CHI,"October 18, 2023"
135,Derrick Favors,CHI,"October 18, 2023"
136,Jules Bernard,WAS,"October 19, 2023"
137,Khem Birch,SAS,"October 19, 2023"
138,Ish Wainright,PHO,"October 19, 2023"
139,KJ Williams,OKC,"October 19, 2023"
140,Hunter Maldonado,OKC,"October 19, 2023"
141,Nathan Knight,NYK,"October 19, 2023"
142,Louis King,LAL,"October 19, 2023"
143,Javonte Green,GSW,"October 19, 2023"
144,Darius Bazley,BRK,"October 19, 2023"
145,Glenn Robinson,MIL,"October 19, 2023"
146,Elijah Hughes,MIL,"October 19, 2023"
147,Kihei Clark,MIL,"October 19, 2023"
148,Makur Maker,TOR,"October 20, 2023"
149,Jake Stephens,SAC,"October 20, 2023"
150,Jaylen Nowell,SAC,"October 20, 2023"
151,Dane Goodwin,SAC,"October 20, 2023"
152,George Conditt IV,POR,"October 20, 2023"
153,Jahmi'us Ramsey,OKC,"October 20, 2023"
154,Jaden Shackelford,OKC,"October 20, 2023"
155,Caleb McConnell,OKC,"October 20, 2023"
156,Adam Flagler,OKC,"October 20, 2023"
157,Tyrese Martin,MIN,"October 20, 2023"
158,Trevor Keels,MIN,"October 20, 2023"
159,D.J. Carton,MIN,"October 20, 2023"
160,Quinndary Weatherspoon,LAL,"October 20, 2023"
161,Bryson Williams,LAL,"October 20, 2023"
162,Nate Darling,LAC,"October 20, 2023"
163,Bryce Wills,DEN,"October 20, 2023"
164,Tony Bradley,DAL,"October 20, 2023"
165,Carlik Jones,CHI,"October 20, 2023"
166,D.J. Steward,BOS,"October 20, 2023"
167,Reggie Kissoonlal,BOS,"October 20, 2023"
168,James Banks,BOS,"October 20, 2023"
169,Wenyen Gabriel,BOS,"October 20, 2023"
170,John Butler,POR,"October 20, 2023"
171,Matt Ryan,MIN,"October 20, 2023"
172,Gabe Kalscheur,WAS,"October 21, 2023"
173,Michael Foster Jr.,WAS,"October 21, 2023"
174,Malik Fitts,WAS,"October 21, 2023"
175,Hamidou Diallo,WAS,"October 21, 2023"
176,Devon Dotson,WAS,"October 21, 2023"
177,Isaiah Miller,UTA,"October 21, 2023"
178,Justise Winslow,TOR,"October 21, 2023"
179,Mouhamadou Gueye,TOR,"October 21, 2023"
180,Jeff Dowtin,TOR,"October 21, 2023"
181,Duop Reath,POR,"October 21, 2023"
182,Kevin Knox,POR,"October 21, 2023"
183,David Duke Jr.,PHI,"October 21, 2023"
184,Ricky Council IV,PHI,"October 21, 2023"
185,Jared Brownridge,PHI,"October 21, 2023"
186,Brandon Williams,ORL,"October 21, 2023"
187,Daeqwon Plowden,ORL,"October 21, 2023"
188,Mac McClung,ORL,"October 21, 2023"
189,Duane Washington Jr.,NYK,"October 21, 2023"
190,Isaiah Roby,NYK,"October 21, 2023"
191,Brandon Goodwin,NYK,"October 21, 2023"
192,Mamadi Diakite,NYK,"October 21, 2023"
