,player,team_from,date
0,Tyrell Terry,MEM,"July 2, 2022"
1,Isaiah Roby,OKC,"July 3, 2022"
2,Luca Vildoza,MIL,"July 5, 2022"
3,Rayjon Tucker,MIL,"July 5, 2022"
4,Eric Bledsoe,POR,"July 6, 2022"
5,Danilo Gallinari,SAS,"July 8, 2022"
6,Taj Gibson,NYK,"July 8, 2022"
7,Duane Washington Jr.,IND,"July 14, 2022"
8,Nik Stauskas,IND,"July 14, 2022"
9,Juwan Morgan,IND,"July 14, 2022"
10,Malik Fitts,IND,"July 14, 2022"
11,Mychal Mulder,MIA,"July 16, 2022"
12,Javonte Smart,MIA,"July 16, 2022"
13,JaMychal Green,OKC,"July 20, 2022"
14,Sharife Cooper,ATL,"July 25, 2022"
15,Jay Scrubb,LAC,"July 27, 2022"
16,Armoni Brooks,TOR,"July 30, 2022"
17,Rayjon Tucker,MIL,"August 2, 2022"
18,Sviatoslav Mykhailiuk,TOR,"August 29, 2022"
19,Didi Louzada,POR,"August 29, 2022"
20,Norvel Pelle,POR,"September 4, 2022"
21,Chaundee Brown Jr.,ATL,"September 11, 2022"
22,DJ Steward,SAC,"September 12, 2022"
23,Micah Potter,DET,"September 14, 2022"
24,Keifer Sykes,DET,"September 16, 2022"
25,Rob Edwards,MIL,"September 16, 2022"
26,Xavier Sneed,UTA,"September 16, 2022"
27,Paris Bass,UTA,"September 16, 2022"
28,Alex AntetoKounmpo,MIL,"September 17, 2022"
29,Marcus Zegarowski,BRK,"September 17, 2022"
30,Iverson Molinar,MIL,"September 19, 2022"
31,Ibou Badji,MIL,"September 20, 2022"
32,Chandler Vaudrin,CLE,"September 20, 2022"
33,Bruno Caboclo,BOS,"September 20, 2022"
34,Dusty Hannahs,GSW,"September 22, 2022"
35,RaiQuan Gray,BRK,"September 22, 2022"
36,Gabe York,IND,"September 22, 2022"
37,David Stockton,IND,"September 22, 2022"
38,Bennie Boatwright,IND,"September 22, 2022"
39,M.J. Walker,NYK,"September 23, 2022"
40,Izaiah Brockington,NOP,"September 23, 2022"
41,Keaton Wallace,LAC,"September 23, 2022"
42,Quinton Rose,NYK,"September 23, 2022"
43,Norvel Pelle,IND,"September 24, 2022"
44,Justin Anderson,IND,"September 24, 2022"
45,Joel Ayayi,ORL,"September 24, 2022"
46,Fabian White Jr.,LAL,"September 25, 2022"
47,Kyler Edwards,DET,"September 25, 2022"
48,Justin Tillman,DEN,"September 25, 2022"
49,Nuni Omot,NYK,"September 26, 2022"
50,Garrison Brooks,NYK,"September 26, 2022"
51,Davion Mintz,WAS,"September 27, 2022"
52,Marcus Zegarowski,BRK,"September 29, 2022"
53,Denzel Valentine,BOS,"September 30, 2022"
54,Ty Jerome,HOU,"October 1, 2022"
55,Kaiser Gates,BRK,"October 1, 2022"
56,Sterling Brown,OKC,"October 1, 2022"
57,Brandon Rachal,BRK,"October 2, 2022"
58,Trevion Williams,GSW,"October 3, 2022"
59,Mac McClung,GSW,"October 3, 2022"
60,Lucas Williamson,LAC,"October 4, 2022"
61,Juwan Morgan,LAC,"October 4, 2022"
62,Michael Devoe,LAC,"October 4, 2022"
63,Sacha Killeya-Jones,OKC,"October 4, 2022"
64,Isaiah Whaley,CHO,"October 6, 2022"
65,Robert Woodard,OKC,"October 6, 2022"
66,Grant Golden,DEN,"October 7, 2022"
67,Javon Freeman-Liberty,CHI,"October 7, 2022"
68,Brandon Williams,POR,"October 7, 2022"
69,Wesley Iwundu,POR,"October 7, 2022"
