,player,team_from,date
0,Craig Hodges,CHI,"July 10, 1992"
1,Dwayne Schintzius,SAC,"July 20, 1992"
2,John Turner,HOU,"August 26, 1992"
3,Jim Petersen,GSW,"September 18, 1992"
4,Sean Higgins,LAL,"September 29, 1992"
5,Dell Demps,GSW,"October 1, 1992"
6,Randy Wittman,IND,"October 6, 1992"
7,William Bedford,WSB,"October 12, 1992"
8,Derek Strong,WSB,"October 14, 1992"
9,Ennis Whatley,SAS,"October 14, 1992"
10,Matt Fish,GSW,"October 15, 1992"
11,Mark Strickland,ATL,"October 16, 1992"
12,Andre Spencer,IND,"October 19, 1992"
13,Howard Wright,ORL,"October 19, 1992"
14,Earl Cureton,DET,"October 21, 1992"
15,Brad Davis,PHO,"October 22, 1992"
16,Ron Grandison,ORL,"October 22, 1992"
17,Pete Myers,WSB,"October 26, 1992"
18,Michael Smith,MIL,"October 26, 1992"
19,Stephen Thompson,MIL,"October 26, 1992"
20,Steve Henson,MIL,"October 27, 1992"
21,Lester Conner,ORL,"October 27, 1992"
22,Ricky Blanton,CHI,"October 27, 1992"
23,John Morton,MIA,"October 28, 1992"
24,Joe Courtney,CHI,"October 28, 1992"
25,Keith Tower,CHI,"October 28, 1992"
26,Matt Fish,POR,"October 28, 1992"
27,Dave Hoppen,SAS,"October 30, 1992"
28,Les Jepsen,SAC,"November 2, 1992"
29,Melvin Newbern,NJN,"November 2, 1992"
30,Lamont Strothers,POR,"November 2, 1992"
31,Elliot Perry,POR,"November 2, 1992"
32,Darren Morningstar,BOS,"November 2, 1992"
33,LaMark Baker,CHH,"November 2, 1992"
34,Frank Johnson,PHO,"November 3, 1992"
35,Stan Kimbrough,SAC,"November 3, 1992"
36,Jeff Ruland,PHI,"November 3, 1992"
37,Jimmy Oliver,DET,"November 3, 1992"
38,Greg Sutton,SAS,"November 3, 1992"
39,Elmer Bennett,ATL,"November 3, 1992"
40,Mike Morrison,DAL,"November 3, 1992"
41,Delaney Rudd,HOU,"November 3, 1992"
42,Tod Murphy,HOU,"November 4, 1992"
43,Winston Garland,DEN,"November 5, 1992"
44,Ed Nealy,PHO,"November 5, 1992"
45,Tom Tolbert,GSW,"November 5, 1992"
46,Jo Jo English,CHI,"November 5, 1992"
47,Brian Oliver,PHI,"November 5, 1992"
48,Lorenzo Williams,CHH,"November 12, 1992"
49,Matt Othick,SAS,"November 19, 1992"
50,Joe Wolf,BOS,"November 19, 1992"
51,Corey Gaines,SEA,"November 19, 1992"
52,Kurt Rambis,PHO,"November 20, 1992"
53,Darrell Walker,DET,"November 25, 1992"
54,Tim Legler,UTA,"November 25, 1992"
55,Bart Kofoed,BOS,"November 26, 1992"
56,Steve Scheffler,SEA,"November 26, 1992"
57,Stan Kimbrough,SAC,"November 30, 1992"
58,Greg Foster,WSB,"December 1, 1992"
59,Chris Corchiani,ORL,"December 3, 1992"
60,Kenny Battle,BOS,"December 4, 1992"
61,Lorenzo Williams,ORL,"December 10, 1992"
62,Jeff Sanders,ATL,"December 15, 1992"
63,Jo Jo English,CHI,"December 15, 1992"
64,Alex Stivrins,PHO,"December 28, 1992"
65,Mark Acres,HOU,"December 29, 1992"
66,William Bedford,SAS,"January 4, 1993"
67,Morlon Wiley,ATL,"January 4, 1993"
68,Walter Palmer,DAL,"January 5, 1993"
69,Kenny Payne,PHI,"January 6, 1993"
70,Anthony Pullard,MIL,"January 6, 1993"
71,Paul Pressey,GSW,"January 6, 1993"
72,Bart Kofoed,BOS,"January 6, 1993"
73,Andre Spencer,ATL,"January 6, 1993"
74,Steve Bardo,DAL,"January 6, 1993"
75,Dan O'Sullivan,NJN,"January 7, 1993"
76,Bernard King,WSB,"January 22, 1993"
77,Alex Stivrins,ATL,"January 25, 1993"
78,Tom Hammonds,CHH,"January 26, 1993"
79,Jeff Ruland,DET,"January 28, 1993"
80,Tracy Moore,DAL,"February 4, 1993"
81,Marcus Webb,BOS,"March 17, 1993"
82,Alton Lister,GSW,"March 23, 1993"
83,Pat Durham,GSW,"March 30, 1993"
84,Alex Stivrins,PHO,"April 11, 1993"
85,Doug Lee,NJN,"April 13, 1993"
86,Dave Hoppen,NJN,"April 23, 1993"
87,Ledell Eackles,WSB,"June 24, 1993"
88,Scott Meents,HOU,"November 2, 1993"
