,player,team_from,date
0,Michael Smith,WAS,"July 25, 2001"
1,Chris Dudley,NJN,"August 15, 2001"
2,Jaren Jackson,SAS,"August 29, 2001"
3,Sam Perkins,IND,"September 17, 2001"
4,Luc Longley,NYK,"September 25, 2001"
5,Johnny Newman,PHO,"September 28, 2001"
6,Derrick Dial,NJN,"October 3, 2001"
7,Cory Hightower,CHH,"October 4, 2001"
8,Mark Strickland,MIL,"October 5, 2001"
9,Paul Grant,NJN,"October 7, 2001"
10,Mike Smith,WAS,"October 8, 2001"
11,Paul McPherson,DEN,"October 9, 2001"
12,Geno Carlisle,MIA,"October 9, 2001"
13,Larry Johnson,NYK,"October 10, 2001"
14,Jamel Thomas,UTA,"October 10, 2001"
15,Mike Wilks,SAC,"October 10, 2001"
16,Eric Chenowith,SAC,"October 10, 2001"
17,William Cunningham,IND,"October 15, 2001"
18,Todd Fuller,ORL,"October 16, 2001"
19,Dennis Scott,LAL,"October 16, 2001"
20,Jim McIlvaine,NJN,"October 17, 2001"
21,Torraye Braggs,SAC,"October 22, 2001"
22,David Vanterpool,NJN,"October 22, 2001"
23,Anthony Goldwire,CLE,"October 23, 2001"
24,Ira Newble,ATL,"October 24, 2001"
25,Scoonie Penn,ATL,"October 24, 2001"
26,Omar Cook,DEN,"October 25, 2001"
27,Rusty LaRue,UTA,"October 25, 2001"
28,Donny Marshall,NJN,"October 25, 2001"
29,Dickey Simpkins,LAL,"October 25, 2001"
30,Rodney Buford,MIA,"October 25, 2001"
31,Steve Goodrich,NJN,"October 25, 2001"
32,Damon Jones,HOU,"October 25, 2001"
33,Randy Livingston,UTA,"October 25, 2001"
34,Michael Ruffin,CHI,"October 25, 2001"
35,Reggie Slater,CLE,"October 25, 2001"
36,Mike James,MIA,"October 25, 2001"
37,Cedric Ceballos,DEN,"October 25, 2001"
38,Bill Curley,MIN,"October 25, 2001"
39,Isaac Fontaine,LAL,"October 25, 2001"
40,Mengke Bateer,DEN,"October 25, 2001"
41,Chris Porter,CHH,"October 26, 2001"
42,Jason Hart,MIL,"October 29, 2001"
43,Tim James,CHH,"October 29, 2001"
44,Derrick McKey,IND,"October 29, 2001"
45,Soumaila Samake,CHI,"October 29, 2001"
46,Aleksandar RadojeviÄ,MIL,"October 29, 2001"
47,Khalid El-Amin,DAL,"October 29, 2001"
48,Chris Herren,BOS,"October 29, 2001"
49,Don MacLean,TOR,"October 29, 2001"
50,Will Perdue,LAC,"October 29, 2001"
51,Derek Strong,LAC,"October 29, 2001"
52,Brian Shaw,LAL,"October 31, 2001"
53,Ira Bowman,PHI,"November 6, 2001"
54,Mike Penberthy,LAL,"November 10, 2001"
55,Vinny Del Negro,LAC,"November 16, 2001"
56,Dickey Simpkins,ATL,"November 17, 2001"
57,Eldridge Recasner,CHH,"November 19, 2001"
58,Darrick Martin,DAL,"November 20, 2001"
59,Isaiah Rider,DEN,"November 20, 2001"
60,Joe Crispin,LAL,"November 24, 2001"
61,Reggie Slater,NJN,"November 26, 2001"
62,Tang Hamilton,MIA,"December 2, 2001"
63,Tim James,PHI,"December 3, 2001"
64,Charlie Bell,PHO,"December 11, 2001"
65,Sam Mack,MIA,"December 13, 2001"
66,Jabari Smith,SAC,"December 18, 2001"
67,Omar Cook,DAL,"December 28, 2001"
68,Michael Ruffin,PHI,"December 28, 2001"
69,Antonio Harvey,SEA,"January 2, 2002"
70,John Crotty,DEN,"January 6, 2002"
71,Shawnelle Scott,DEN,"January 6, 2002"
72,Mark Strickland,ATL,"January 7, 2002"
73,Steve Goodrich,NJN,"January 7, 2002"
74,Eldridge Recasner,LAC,"January 7, 2002"
75,Carlos Arroyo,TOR,"January 8, 2002"
76,Leon Smith,ATL,"February 1, 2002"
77,Isaac Austin,MEM,"February 28, 2002"
78,Greg Anthony,CHI,"March 1, 2002"
79,Tim Hardaway,DEN,"June 25, 2002"
80,Danny Manning,DAL,"June 25, 2002"
81,Chris Gatling,MIA,"June 27, 2002"
82,Earl Boykins,LAC,"June 28, 2002"
