,player,team_from,date
0,Charles Jones,LAC,"July 7, 2000"
1,Isaac Fontaine,CLE,"July 25, 2000"
2,Danny Manning,MIL,"August 2, 2000"
3,Randy Livingston,PHO,"August 31, 2000"
4,Eric Murdock,DET,"September 12, 2000"
5,Chris Mullin,IND,"September 12, 2000"
6,Hersey Hawkins,CHI,"September 19, 2000"
7,Bruno Å undov,UTA,"September 26, 2000"
8,Maceo Baston,MIL,"September 27, 2000"
9,Joe Kleine,IND,"September 27, 2000"
10,Lari Ketner,CLE,"September 28, 2000"
11,Chuck Person,LAL,"September 29, 2000"
12,Rodney Buford,CHH,"October 2, 2000"
13,Terry Mills,DAL,"October 2, 2000"
14,Dennis Scott,WAS,"October 4, 2000"
15,Jaquay Walls,IND,"October 4, 2000"
16,Vernon Maxwell,NYK,"October 5, 2000"
17,James Robinson,SEA,"October 7, 2000"
18,Michael Hawkins,ATL,"October 9, 2000"
19,Randy Livingston,SEA,"October 13, 2000"
20,Ansu Sesay,DET,"October 18, 2000"
21,Rick Brunson,MIA,"October 20, 2000"
22,Jerome James,SAC,"October 20, 2000"
23,Vladimir Stepania,NYK,"October 20, 2000"
24,Anthony Goldwire,DEN,"October 25, 2000"
25,Etdrick Bohannon,LAC,"October 25, 2000"
26,Ira Bowman,UTA,"October 25, 2000"
27,Emanual Davis,LAL,"October 25, 2000"
28,Jamel Thomas,POR,"October 26, 2000"
29,Dickey Simpkins,SEA,"October 26, 2000"
30,Michael Hawkins,CLE,"October 26, 2000"
31,Lazaro Borrell,NYK,"October 26, 2000"
32,Paul Grant,VAN,"October 26, 2000"
33,Jeff Nordgaard,VAN,"October 26, 2000"
34,David Vanterpool,DET,"October 28, 2000"
35,Garth Joseph,TOR,"October 28, 2000"
36,Andy Panko,LAL,"October 29, 2000"
37,John Coker,MIN,"October 30, 2000"
38,Jermaine Jackson,PHI,"October 30, 2000"
39,Steve Goodrich,CHI,"October 30, 2000"
40,Dale Ellis,MIA,"October 30, 2000"
41,Elliot Perry,NJN,"October 30, 2000"
42,Vladimir Stepania,TOR,"October 30, 2000"
43,Cory Hightower,LAL,"October 30, 2000"
44,Anthony Miller,ATL,"November 8, 2000"
45,Mark Bryant,CLE,"November 15, 2000"
46,Torraye Braggs,DET,"November 20, 2000"
47,Randy Livingston,GSW,"November 21, 2000"
48,Jamal Robinson,MIA,"November 26, 2000"
49,Jonathan Kerner,NYK,"November 27, 2000"
50,Bill Curley,DAL,"November 28, 2000"
51,Elliot Perry,ORL,"November 30, 2000"
52,Kevin Ollie,NJN,"December 15, 2000"
53,Pervis Ellison,SEA,"December 18, 2000"
54,Terrance Roberson,CHH,"December 19, 2000"
55,Ademola Okulaja,PHI,"December 19, 2000"
56,Vernon Maxwell,PHI,"December 22, 2000"
57,Anthony Miller,HOU,"December 28, 2000"
58,William Cunningham,VAN,"December 31, 2000"
59,Michael Hawkins,CLE,"January 2, 2001"
60,J.R. Reid,CLE,"January 2, 2001"
61,Bill Curley,GSW,"January 3, 2001"
62,Milt Palacio,BOS,"January 5, 2001"
63,Larry Robinson,CLE,"January 5, 2001"
64,Elliot Perry,PHO,"January 5, 2001"
65,Andy Panko,ATL,"January 13, 2001"
66,Sean Colson,ATL,"January 25, 2001"
67,Chucky Brown,GSW,"January 26, 2001"
68,Garth Joseph,DEN,"January 29, 2001"
69,Felipe LÃ³pez,WAS,"February 22, 2001"
70,Gerard King,WAS,"February 22, 2001"
71,Tyrone Corbin,DET,"February 23, 2001"
72,Todd Day,MIN,"February 27, 2001"
73,RubÃ©n GarcÃ©s,GSW,"February 28, 2001"
74,Rod Strickland,WAS,"March 1, 2001"
75,Gary Grant,POR,"March 5, 2001"
76,Pepe SÃ¡nchez,ATL,"March 12, 2001"
77,Anthony Miller,PHI,"March 15, 2001"
78,Khalid El-Amin,CHI,"March 20, 2001"
79,Mark Strickland,DEN,"March 22, 2001"
80,Keith Closs,LAC,"May 4, 2001"
81,Samaki Walker,SAS,"June 29, 2001"
