,player,team_from,date
0,Kennard Winchester,HOU,"July 1, 1993"
1,Lance Blanks,MIN,"July 7, 1993"
2,Armen Gilliam,PHI,"July 28, 1993"
3,Sleepy Floyd,HOU,"August 2, 1993"
4,Danny Young,DET,"October ?, 1993"
5,Robert Werdann,DEN,"October 5, 1993"
6,Mark Aguirre,DET,"October 7, 1993"
7,Brian Oliver,BOS,"October 19, 1993"
8,Sam Mack,SAS,"October 21, 1993"
9,Chris Childs,SAS,"October 25, 1993"
10,Isaiah Morris,SAS,"October 25, 1993"
11,Jaren Jackson,CHI,"October 28, 1993"
12,Mark Randall,MIA,"October 29, 1993"
13,Dave Jamerson,HOU,"November 1, 1993"
14,Steve Henson,ATL,"November 2, 1993"
15,Greg Foster,ATL,"November 2, 1993"
16,Adonis Jordan,SEA,"November 2, 1993"
17,Lorenzo Williams,BOS,"November 2, 1993"
18,Jack Haley,LAL,"November 2, 1993"
19,Rod Higgins,PHO,"November 2, 1993"
20,Marty Conlon,SAC,"November 2, 1993"
21,Isaac Austin,UTA,"November 2, 1993"
22,Greg Sutton,MIA,"November 2, 1993"
23,Rich Manning,ATL,"November 2, 1993"
24,Corey Crowder,UTA,"November 2, 1993"
25,Ashraf Amaya,HOU,"November 2, 1993"
26,Gerald Glass,GSW,"November 2, 1993"
27,Dave Johnson,POR,"November 3, 1993"
28,Elliot Perry,POR,"November 3, 1993"
29,Corey Williams,CHI,"November 3, 1993"
30,Morlon Wiley,DAL,"November 3, 1993"
31,Alphonso Ford,PHI,"November 3, 1993"
32,Duane Cooper,LAL,"November 4, 1993"
33,Tate George,NJN,"November 4, 1993"
34,Chuck Nevitt,SAS,"November 9, 1993"
35,Tito Horford,WSB,"November 15, 1993"
36,Andre Spencer,GSW,"November 22, 1993"
37,Jerry Reynolds,ORL,"November 22, 1993"
38,Steve Henson,POR,"November 22, 1993"
39,Chucky Brown,DAL,"November 23, 1993"
40,Ricky Grace,ATL,"November 23, 1993"
41,Gerald Paddio,IND,"November 29, 1993"
42,Dave Jamerson,UTA,"November 29, 1993"
43,Adonis Jordan,DEN,"December 1, 1993"
44,Greg Foster,MIL,"December 3, 1993"
45,LaBradford Smith,WSB,"December 6, 1993"
46,Ron Anderson,NJN,"December 6, 1993"
47,Gary Alexander,MIA,"December 6, 1993"
48,Trevor Wilson,LAL,"December 7, 1993"
49,John Bagley,ATL,"December 13, 1993"
50,Dell Demps,GSW,"December 16, 1993"
51,Sedric Toney,CLE,"December 21, 1993"
52,Lorenzo Williams,ORL,"December 22, 1993"
53,Jay Guidinger,CLE,"December 23, 1993"
54,Aaron Williams,UTA,"December 27, 1993"
55,Darren Morningstar,DAL,"December 29, 1993"
56,Michael Curry,PHI,"December 29, 1993"
57,Tod Murphy,DET,"January 5, 1994"
58,Lorenzo Williams,CHH,"January 5, 1994"
59,Jo Jo English,MIN,"January 5, 1994"
60,Henry James,LAC,"January 7, 1994"
61,Jim Les,SAC,"January 11, 1994"
62,Gerald Paddio,NYK,"January 20, 1994"
63,Tim Kempton,PHO,"January 21, 1994"
64,Mark Aguirre,LAC,"February 1, 1994"
65,Charles Jones,DET,"February 5, 1994"
66,Evers Burns,SAC,"February 16, 1994"
67,Dan O'Sullivan,DET,"February 23, 1994"
68,Todd Lichti,ORL,"February 24, 1994"
69,Darren Morningstar,UTA,"February 25, 1994"
70,Corey Williams,MIN,"February 28, 1994"
71,Dave Johnson,CHI,"March 1, 1994"
72,Sean Green,UTA,"March 6, 1994"
73,Johnny Dawkins,DET,"March 6, 1994"
74,Ledell Eackles,IND,"March 7, 1994"
75,Marty Conlon,CHH,"March 22, 1994"
76,Moses Malone,PHI,"June 17, 1994"
77,Tom Tolbert,LAC,"June 29, 1994"
