,player,team_from,date
0,Austin Daye,ATL,"July 9, 2015"
1,Luke Ridnour,TOR,"July 9, 2015"
2,Deron Williams,BRK,"July 11, 2015"
3,Phil Pressey,BOS,"July 15, 2015"
4,Lester Hudson,LAC,"July 15, 2015"
5,Jerel McNeal,PHO,"July 16, 2015"
6,Pablo Prigioni,DEN,"July 20, 2015"
7,Henry Walker,MIA,"July 27, 2015"
8,Eric Moreland,SAC,"July 29, 2015"
9,Brendan Haywood,POR,"July 30, 2015"
10,Ricky Ledo,NYK,"July 30, 2015"
11,Toney Douglas,NOP,"July 31, 2015"
12,Jordan Hamilton,LAC,"August 1, 2015"
13,Zoran DragiÄ,BOS,"August 10, 2015"
14,Joey Dorsey,DEN,"August 18, 2015"
15,Remi Yusuf,HOU,"September 18, 2015"
16,Anthony Bennett,MIN,"September 23, 2015"
17,Patrick Christopher,MEM,"September 23, 2015"
18,Kostas Papanikolaou,DEN,"September 25, 2015"
19,Jason Richardson,ATL,"September 25, 2015"
20,Gerald Wallace,PHI,"September 26, 2015"
21,Mike Miller,POR,"September 28, 2015"
22,Nikoloz Tskitishvili,LAC,"October 3, 2015"
23,Dan Nwaelele,MEM,"October 5, 2015"
24,Deonte Burton,PHO,"October 6, 2015"
25,Eric Griffin,DET,"October 7, 2015"
26,Jon Horford,MIL,"October 7, 2015"
27,Charlie Westbrook,MIL,"October 7, 2015"
28,Michael Holyfield,MEM,"October 7, 2015"
29,Edgar Sosa,ATL,"October 10, 2015"
30,Arsalan Kazemi,ATL,"October 10, 2015"
31,Michael Dunigan,CLE,"October 10, 2015"
32,Tony Mitchell,GSW,"October 12, 2015"
33,J.J. O'Brien,UTA,"October 13, 2015"
34,Jack Cooley,UTA,"October 13, 2015"
35,Jake Anderson,CHI,"October 13, 2015"
36,Stefhon Hannah,CHI,"October 13, 2015"
37,Ben Gordon,GSW,"October 14, 2015"
38,Corey Webster,NOP,"October 15, 2015"
39,Grant Jerrett,UTA,"October 15, 2015"
40,Matt Janning,DEN,"October 15, 2015"
41,Marshall Henderson,SAC,"October 15, 2015"
42,Vince Hunter,SAC,"October 15, 2015"
43,Juwan Staten,GSW,"October 15, 2015"
44,Kyle Casey,PHO,"October 15, 2015"
45,Terrico White,PHO,"October 15, 2015"
46,Mirza BegiÄ,NOP,"October 15, 2015"
47,Jerome Jordan,NOP,"October 16, 2015"
48,Chris Johnson,CLE,"October 17, 2015"
49,Keith Appling,ORL,"October 19, 2015"
50,Corey Hawkins,MIA,"October 19, 2015"
51,Jordan Sibert,ORL,"October 19, 2015"
52,Bryce Cotton,UTA,"October 20, 2015"
53,Treveon Graham,UTA,"October 20, 2015"
54,Ryan Boatright,BRK,"October 20, 2015"
55,Quincy Miller,BRK,"October 20, 2015"
56,Chris Daniels,BRK,"October 20, 2015"
57,Levi Randolph,BOS,"October 20, 2015"
58,Coty Clarke,BOS,"October 20, 2015"
59,Malcolm Miller,BOS,"October 20, 2015"
60,Robert Upshaw,LAL,"October 20, 2015"
61,Michael Frazier,LAL,"October 20, 2015"
62,Youssou Ndoye,SAS,"October 21, 2015"
63,Josh Powell,MIL,"October 21, 2015"
64,Marcus Landry,MIL,"October 21, 2015"
65,Jorge GutiÃ©rrez,MIL,"October 21, 2015"
66,Keifer Sykes,SAS,"October 21, 2015"
67,Jimmer Fredette,SAS,"October 21, 2015"
68,Deshaun Thomas,SAS,"October 21, 2015"
69,Jordan Crawford,CHI,"October 22, 2015"
70,Marcus Simmons,CHI,"October 22, 2015"
71,Greg Stiemsma,ORL,"October 22, 2015"
72,Jarrid Famous,DAL,"October 22, 2015"
73,Nick Minnerath,CLE,"October 22, 2015"
74,Terran Petteway,ATL,"October 22, 2015"
75,Michael Qualls,OKC,"October 22, 2015"
76,Talib Zanna,OKC,"October 22, 2015"
77,Julyan Stone,OKC,"October 22, 2015"
78,Dez Wells,OKC,"October 22, 2015"
79,David Stockton,SAC,"October 22, 2015"
80,Melvin Ejim,ORL,"October 22, 2015"
81,E.J. Singler,UTA,"October 22, 2015"
82,Cartier Martin,DET,"October 23, 2015"
83,Adonis Thomas,DET,"October 23, 2015"
84,Jordan Bachynski,DET,"October 23, 2015"
85,Thanasis Antetokounmpo,NYK,"October 23, 2015"
86,Darion Atkins,NYK,"October 23, 2015"
87,Travis Trice,NYK,"October 23, 2015"
88,DaJuan Summers,NYK,"October 23, 2015"
89,Wesley Saunders,NYK,"October 23, 2015"
90,Jeremy Tyler,HOU,"October 23, 2015"
91,Chris Walker,HOU,"October 23, 2015"
92,Will Cummings,HOU,"October 23, 2015"
93,Denzel Livingston,HOU,"October 23, 2015"
94,Chris Douglas-Roberts,NOP,"October 23, 2015"
95,Sean Kilpatrick,NOP,"October 23, 2015"
96,Jonathan Holmes,LAL,"October 23, 2015"
97,Chris Babb,GSW,"October 23, 2015"
98,Dionte Christmas,CLE,"October 23, 2015"
99,Jack Cooley,CLE,"October 23, 2015"
100,Austin Daye,CLE,"October 23, 2015"
101,Jarell Eddie,GSW,"October 23, 2015"
102,Xavier Henry,GSW,"October 23, 2015"
103,Omari Johnson,POR,"October 23, 2015"
104,Phil Pressey,POR,"October 23, 2015"
105,D.J. Stephens,CLE,"October 23, 2015"
106,Chris Udofia,GSW,"October 23, 2015"
107,Jeff Adrien,NOP,"October 24, 2015"
108,Brandon Ashley,DAL,"October 24, 2015"
109,Earl Barron,ATL,"October 24, 2015"
110,Keith Benson,MIA,"October 24, 2015"
111,Lorenzo Brown,MIN,"October 24, 2015"
112,Sampson Carter,MEM,"October 24, 2015"
113,Mike Cobbins,OKC,"October 24, 2015"
114,Quinn Cook,CLE,"October 24, 2015"
115,Samuel Dalembert,DAL,"October 24, 2015"
116,Bryce Dejean-Jones,NOP,"October 24, 2015"
117,Yakhouba Diawara,MEM,"October 24, 2015"
118,Nnanna Egwu,ORL,"October 24, 2015"
119,C.J. Fair,IND,"October 24, 2015"
120,Mustapha Farrakhan,OKC,"October 24, 2015"
121,Josh Harrellson,WAS,"October 24, 2015"
122,Chuck Hayes,LAC,"October 24, 2015"
123,Tu Holloway,DAL,"October 24, 2015"
124,Kadeem Jack,IND,"October 24, 2015"
125,Jaron Johnson,WAS,"October 24, 2015"
126,Nick Johnson,DEN,"October 24, 2015"
127,DeQuan Jones,ATL,"October 24, 2015"
128,Lazeric Jones,MEM,"October 24, 2015"
129,Perry Jones,BOS,"October 24, 2015"
130,Arsalan Kazemi,HOU,"October 24, 2015"
131,Tre Kelley,MIA,"October 24, 2015"
132,Michale Kyser,TOR,"October 24, 2015"
133,John Lucas III,MIA,"October 24, 2015"
134,Bo McCalebb,NOP,"October 24, 2015"
135,Toure' Murry,WAS,"October 24, 2015"
136,Oleksiy Pecherov,DEN,"October 24, 2015"
137,Kleon Penn,MIN,"October 24, 2015"
138,Jaleel Roberts,WAS,"October 24, 2015"
139,Shannon Scott,TOR,"October 24, 2015"
140,Henry Sims,PHO,"October 24, 2015"
141,Ish Smith,WAS,"October 24, 2015"
142,Joshua Smith,HOU,"October 24, 2015"
143,Alex Stepheson,MEM,"October 24, 2015"
144,Devin Sweetney,DEN,"October 24, 2015"
145,Sam Thompson,CHO,"October 24, 2015"
146,Axel Toupane,TOR,"October 24, 2015"
147,Corey Walden,BOS,"October 24, 2015"
148,Jason Washburn,CHO,"October 24, 2015"
149,Julian Washburn,SAS,"October 24, 2015"
150,Briante Weber,MIA,"October 24, 2015"
151,Greg Whittington,MIA,"October 24, 2015"
152,Nick Wiggins,MIN,"October 24, 2015"
153,Damien Wilkins,CHO,"October 24, 2015"
154,Elliot Williams,CHO,"October 24, 2015"
155,Reggie Williams,SAS,"October 24, 2015"
156,Jamil Wilson,DAL,"October 24, 2015"
157,Ronald Roberts,TOR,"October 24, 2015"
158,Ryan Boatright,DET,"October 25, 2015"
159,J.P. Tokoto,PHI,"October 25, 2015"
160,Furkan Aldemir,PHI,"October 26, 2015"
161,Eric Atkins,UTA,"October 26, 2015"
162,Jabari Brown,LAL,"October 26, 2015"
163,Toney Douglas,IND,"October 26, 2015"
164,Danny Granger,DET,"October 26, 2015"
165,Justin Harper,BRK,"October 26, 2015"
166,Ryan Hollins,MEM,"October 26, 2015"
167,Pierre Jackson,PHI,"October 26, 2015"
168,Dahntay Jones,BRK,"October 26, 2015"
169,Jordan McRae,PHI,"October 26, 2015"
170,Maurice Ndour,DAL,"October 26, 2015"
171,Terran Petteway,IND,"October 26, 2015"
172,Phil Pressey,UTA,"October 26, 2015"
173,Jordan Railey,PHI,"October 26, 2015"
174,Scottie Wilbekin,PHI,"October 26, 2015"
175,Nate Robinson,NOP,"October 29, 2015"
176,Erick Green,DEN,"November 5, 2015"
177,Chuck Hayes,HOU,"November 8, 2015"
178,Jimmer Fredette,NOP,"November 19, 2015"
179,Martell Webster,WAS,"November 30, 2015"
