,player,team_from,date
0,MickaÃ«l Gelabale,MIN,"July 7, 2013"
1,Greg Stiemsma,MIN,"July 7, 2013"
2,DaJuan Summers,LAC,"July 9, 2013"
3,Lance Thomas,NOP,"July 10, 2013"
4,Tyrus Thomas,CHA,"July 10, 2013"
5,Richard Hamilton,CHI,"July 10, 2013"
6,Kim English,DET,"July 11, 2013"
7,Metta World Peace,LAL,"July 11, 2013"
8,James Anderson,HOU,"July 13, 2013"
9,Tim Ohlbrecht,HOU,"July 13, 2013"
10,Kris Joseph,BOS,"July 15, 2013"
11,Mike Miller,MIA,"July 16, 2013"
12,Marcus Camby,TOR,"July 17, 2013"
13,Chris Quinn,CLE,"July 19, 2013"
14,Kevin Jones,CLE,"July 19, 2013"
15,Bernard James,DAL,"July 20, 2013"
16,Malcolm Thomas,CHI,"July 23, 2013"
17,Scott Machado,GSW,"July 24, 2013"
18,Kevin Murphy,GSW,"July 24, 2013"
19,Dwayne Jones,GSW,"July 24, 2013"
20,Shavlik Randolph,BOS,"August 1, 2013"
21,Al Harrington,ORL,"August 2, 2013"
22,DeShawn Stevenson,ATL,"August 3, 2013"
23,Justin Holiday,PHI,"August 13, 2013"
24,Fab Melo,MEM,"August 30, 2013"
25,Quentin Richardson,TOR,"September 3, 2013"
26,Michael Beasley,PHO,"September 3, 2013"
27,DeAndre Liggins,OKC,"September 6, 2013"
28,Justin Brownlee,NYK,"October 2, 2013"
29,Kalin Lucas,CHI,"October 2, 2013"
30,Patrick Christopher,CHI,"October 2, 2013"
31,Solomon Alabi,PHI,"October 4, 2013"
32,Rodney Carney,NOP,"October 6, 2013"
33,Dahntay Jones,CHI,"October 8, 2013"
34,Dan Gadzuric,LAL,"October 9, 2013"
35,Eric Boateng,LAL,"October 9, 2013"
36,Daniel Orton,OKC,"October 10, 2013"
37,Marcus Cousin,SAS,"October 15, 2013"
38,Myck Kabongo,SAS,"October 15, 2013"
39,Corey Maggette,SAS,"October 15, 2013"
40,DeQuan Jones,SAC,"October 15, 2013"
41,Brandon Heath,SAC,"October 15, 2013"
42,Darius Johnson-Odom,LAL,"October 16, 2013"
43,D'or Fischer,WAS,"October 16, 2013"
44,Ron Howard,IND,"October 17, 2013"
45,Jarvis Varnado,MIA,"October 21, 2013"
46,Larry Drew II,MIA,"October 21, 2013"
47,Charlie Westbrook,MIA,"October 21, 2013"
48,Brandon Davies,LAC,"October 21, 2013"
49,James Johnson,ATL,"October 21, 2013"
50,Fab Melo,DAL,"October 22, 2013"
51,Renaldo Balkman,DAL,"October 22, 2013"
52,Devin Ebanks,DAL,"October 22, 2013"
53,D.J. Kennedy,DAL,"October 22, 2013"
54,Josh Childress,WAS,"October 24, 2013"
55,Pops Mensah-Bonsu,WAS,"October 24, 2013"
56,Xavier Silas,WAS,"October 24, 2013"
57,James Nunnally,PHO,"October 24, 2013"
58,Trent Lockett,SAC,"October 24, 2013"
59,Vander Blue,PHI,"October 25, 2013"
60,Khalif Wyatt,PHI,"October 25, 2013"
61,Royce White,PHI,"October 25, 2013"
62,Mac Koshwal,PHI,"October 25, 2013"
