,player,team_from,date
0,Tarik Black,LAL,"July 1, 2017"
1,Tyler Zeller,BOS,"July 2, 2017"
2,Leandro Barbosa,PHO,"July 3, 2017"
3,Stephen Zimmerman,ORL,"July 4, 2017"
4,Chris Bosh,MIA,"July 4, 2017"
5,Monta Ellis,IND,"July 5, 2017"
6,Rakeem Christmas,IND,"July 6, 2017"
7,Marshall Plumlee,NYK,"July 7, 2017"
8,Jamal Crawford,ATL,"July 7, 2017"
9,Ryan Kelly,HOU,"July 7, 2017"
10,C.J. Watson,ORL,"July 10, 2017"
11,Mike Miller,DEN,"July 11, 2017"
12,David Nwaba,LAL,"July 12, 2017"
13,Boris Diaw,UTA,"July 13, 2017"
14,Jordan Mickey,BOS,"July 14, 2017"
15,Justin Hamilton,TOR,"July 14, 2017"
16,Georges Niang,IND,"July 14, 2017"
17,Michael Gbinije,DET,"July 15, 2017"
18,Kyle Wiltjer,LAC,"July 15, 2017"
19,Demetrius Jackson,BOS,"July 15, 2017"
20,Paul Pierce,BOS,"July 18, 2017"
21,NicolÃ¡s Brussino,DAL,"July 20, 2017"
22,Quinn Cook,NOP,"July 25, 2017"
23,Axel Toupane,NOP,"July 25, 2017"
24,Archie Goodwin,BRK,"July 28, 2017"
25,Briante Weber,CHO,"July 28, 2017"
26,Jarrod Uthoff,HOU,"July 30, 2017"
27,Marcus Georges-Hunt,ORL,"July 31, 2017"
28,Diamond Stone,ATL,"July 31, 2017"
29,Kevin SÃ©raphin,IND,"July 31, 2017"
30,Patricio Garino,ORL,"August 1, 2017"
31,Andrew Nicholson,POR,"August 30, 2017"
32,Spencer Hawes,MIL,"September 1, 2017"
33,Jalen Moore,MIL,"September 10, 2017"
34,Bronson Koenig,MIL,"September 21, 2017"
35,JeQuan Lewis,MIL,"September 22, 2017"
36,DeAndre Liggins,ATL,"September 25, 2017"
37,Chasson Randle,NYK,"September 25, 2017"
38,Dwyane Wade,CHI,"September 25, 2017"
39,Shawn Long,HOU,"September 26, 2017"
40,JaCorey Williams,CLE,"September 27, 2017"
41,Antonius Cleveland,GSW,"October 1, 2017"
42,Alex Hamilton,GSW,"October 1, 2017"
43,Jamel Artis,NYK,"October 4, 2017"
44,James Young,MIL,"October 4, 2017"
45,Jeremy Morgan,MEM,"October 5, 2017"
46,Devin Williams,BOS,"October 5, 2017"
47,Taylor Braun,UTA,"October 7, 2017"
48,Kyle Wiltjer,TOR,"October 7, 2017"
49,Andy Rautins,TOR,"October 7, 2017"
50,Kennedy Meeks,TOR,"October 7, 2017"
51,Jordan Mathews,ATL,"October 7, 2017"
52,John Jenkins,ATL,"October 7, 2017"
53,Kendall Marshall,MIL,"October 8, 2017"
54,Daniel Ochefu,WAS,"October 9, 2017"
55,V.J. Beachem,LAL,"October 9, 2017"
56,LaDontae Henton,LAC,"October 10, 2017"
57,Marcus Williams,SAC,"October 10, 2017"
58,Landry Nnoko,DET,"October 10, 2017"
59,Derek Willis,DET,"October 10, 2017"
60,Milton Doyle,BRK,"October 11, 2017"
61,Jeremy Senglin,BRK,"October 11, 2017"
62,Anthony Bennett,PHO,"October 11, 2017"
63,Peter Jok,PHO,"October 11, 2017"
64,Bryce Alford,OKC,"October 11, 2017"
65,Markel Brown,OKC,"October 11, 2017"
66,Rashawn Thomas,OKC,"October 11, 2017"
67,Edy Tavares,CLE,"October 11, 2017"
68,Xavier Munford,MIL,"October 12, 2017"
69,Daniel Dixon,BOS,"October 12, 2017"
70,Jonathan Holmes,BOS,"October 12, 2017"
71,L.J. Peak,BOS,"October 12, 2017"
72,Andrew White,BOS,"October 12, 2017"
73,Amida Brimah,SAS,"October 12, 2017"
74,London Perrantes,SAS,"October 12, 2017"
75,Torian Graham,UTA,"October 12, 2017"
76,Larry Drew II,MIA,"October 12, 2017"
77,Josh Childress,DEN,"October 12, 2017"
78,Akil Mitchell,BRK,"October 12, 2017"
79,Brandon Ashley,DAL,"October 13, 2017"
80,Trevor Thompson,GSW,"October 13, 2017"
81,Rodney Purvis,ORL,"October 13, 2017"
82,Troy Caupain,ORL,"October 13, 2017"
83,George de Paula,HOU,"October 13, 2017"
84,Isaiah Taylor,HOU,"October 13, 2017"
85,Tim Quarterman,HOU,"October 13, 2017"
86,Chris Johnson,HOU,"October 13, 2017"
87,Kamari Murphy,BRK,"October 13, 2017"
88,Tahjere McCall,BRK,"October 13, 2017"
89,Tidjan Keita,PHO,"October 13, 2017"
90,Kay Felder,ATL,"October 14, 2017"
91,Kendall Pollard,UTA,"October 14, 2017"
92,Shawne Williams,MIN,"October 14, 2017"
93,Ike Iroegbu,LAC,"October 14, 2017"
94,Danuel House,HOU,"October 14, 2017"
95,James Webb III,PHI,"October 14, 2017"
96,Marc Loving,PHI,"October 14, 2017"
97,Andrew Andrews,PHI,"October 14, 2017"
98,Kendrick Perkins,CLE,"October 14, 2017"
99,Isaac Hamilton,CLE,"October 14, 2017"
100,Donald Sloan,WAS,"October 14, 2017"
101,Davion Berry,TOR,"October 14, 2017"
102,Naz Mitrou-Long,UTA,"October 14, 2017"
103,David Stockton,SAC,"October 14, 2017"
104,Matt Jones,SAC,"October 14, 2017"
105,Reggie Hearn,SAC,"October 14, 2017"
106,Anthony Morrow,POR,"October 14, 2017"
107,Archie Goodwin,POR,"October 14, 2017"
108,Isaiah Briscoe,POR,"October 14, 2017"
109,Elijah Millsap,PHO,"October 14, 2017"
110,Jacob Pullen,PHI,"October 14, 2017"
111,Emeka Okafor,PHI,"October 14, 2017"
112,Kris Humphries,PHI,"October 14, 2017"
113,James Blackmon,PHI,"October 14, 2017"
114,Damjan RudeÅ¾,ORL,"October 14, 2017"
115,Kalin Lucas,ORL,"October 14, 2017"
116,Chris Wright,OKC,"October 14, 2017"
117,Yannis Morin,OKC,"October 14, 2017"
118,Semaj Christon,OKC,"October 14, 2017"
119,Isaiah Canaan,OKC,"October 14, 2017"
120,Xavier Rathan-Mayes,NYK,"October 14, 2017"
121,Nigel Hayes,NYK,"October 14, 2017"
122,Trey Burke,NYK,"October 14, 2017"
123,Perry Jones,NOP,"October 14, 2017"
124,Cliff Alexander,NOP,"October 14, 2017"
125,Melo Trimble,MIN,"October 14, 2017"
126,Amile Jefferson,MIN,"October 14, 2017"
127,Brandon Rush,MIL,"October 14, 2017"
128,Gary Payton II,MIL,"October 14, 2017"
129,Gerald Green,MIL,"October 14, 2017"
130,Joel Anthony,MIL,"October 14, 2017"
131,Tony Mitchell,MIA,"October 14, 2017"
132,Erik McCree,MIA,"October 14, 2017"
133,DeAndre Liggins,MIA,"October 14, 2017"
134,Durand Scott,MEM,"October 14, 2017"
135,Briante Weber,LAL,"October 14, 2017"
136,Travis Wear,LAL,"October 14, 2017"
137,Vander Blue,LAL,"October 14, 2017"
138,C.J. Williams,LAC,"October 14, 2017"
139,Tyrone Wallace,LAC,"October 14, 2017"
140,Marshall Plumlee,LAC,"October 14, 2017"
141,Ben Moore,IND,"October 14, 2017"
142,Trey McKinney-Jones,IND,"October 14, 2017"
143,DeQuan Jones,IND,"October 14, 2017"
144,Cameron Oliver,HOU,"October 14, 2017"
145,Georges Niang,GSW,"October 14, 2017"
