Year,Team,Player,Salary,Percent_team_salary
2023.0,BRK,Ben Simmons,37893408.0,0.24444972908968063
2023.0,BRK,Cameron Johnson,25679348.0,0.16565703622644953
2023.0,BRK,Mikal Bridges,21700000.0,0.13998633010908043
2023.0,BRK,Dorian Finney-Smith,13932008.0,0.08987514612766588
2023.0,BRK,Dennis Schroeder,12405000.0,0.08002444354853193
2023.0,BRK,Nicolas Claxton,9625000.0,0.06209071093547923
2023.0,BRK,Thaddeus Young,8000000.0,0.05160786363468404
2023.0,BRK,Noah Clowney,3089460.0,0.019930053798101366
2023.0,BRK,Dariq Whitehead,2966040.0,0.01913387348187728
2023.0,BRK,Dennis Smith,2528233.0,0.016309587987588515
2023.0,BRK,Lonnie Walker,2346614.0,0.015137966914405056
2023.0,BRK,Keita Bates-Diop,2346614.0,0.015137966914405056
2023.0,BRK,Cam Thomas,2240160.0,0.014451233974984223
2023.0,BRK,Day'Ron Sharpe,2210040.0,0.014256930368399638
2023.0,BRK,Harry Giles,2165000.0,0.013966378096136368
2023.0,BRK,Trendon Watford,2019706.0,0.013029088978769145
2023.0,BRK,Jordan Goodwin,1927896.0,0.012436824233731601
2023.0,BRK,Jalen Wilson,850000.0,0.005483335511185179
2023.0,BRK,Keon Johnson,534045.0,0.0034451151918481046
2023.0,BRK,Armoni Brooks,241285.0,0.0015565254221368422
2023.0,BRK,Jaylen Martin,173725.0,0.0011206970137419355
2023.0,BRK,Jacob Gilyard,141554.0,0.000913162441118008
2022.0,CHI,Zach LaVine,37096500.0,0.24411214714652368
2022.0,CHI,DeMar DeRozan,27300000.0,0.17964664097960983
2022.0,CHI,Nikola Vucevic,22000000.0,0.14477018687001525
2022.0,CHI,Lonzo Ball,19534884.0,0.12854858214382142
2022.0,CHI,Alex Caruso,9030000.0,0.059421581247101715
2022.0,CHI,Patrick Williams,7775400.0,0.05116573231768712
2022.0,CHI,Coby White,7413955.0,0.04878725685435836
2022.0,CHI,Derrick Jones,3200000.0,0.021057481726547676
2022.0,CHI,Andre Drummond,3200000.0,0.021057481726547676
2022.0,CHI,Dalen Terry,3191400.0,0.021000889744407576
2022.0,CHI,Goran Dragic,2905851.0,0.019121845103928215
2022.0,CHI,Tony Bradley,2036318.0,0.013399915335762532
