,date,teams,players
0,"August 1, 1999","{'TOR', 'IND'}","{'Jonathan Bender', 'Antonio Davis'}"
1,"August 2, 1999","{'POR', 'ATL'}","{'Isaiah Rider', 'Ed Gray', 'Jim Jackson', 'Steve Smith'}"
2,"August 3, 1999","{'ORL', 'SAC'}","{'Tariq Abdul-Wahad', 'Nick Anderson'}"
3,"August 3, 1999","{'DEN', 'BOS'}","{'Eric Washington', 'Ron Mercer', 'Popeye Jones', 'Danny Fortson', 'Dwayne Schintzius', 'Eric Williams'}"
4,"August 4, 1999","{'LAC', 'CLE'}","{'Johnny Newman', 'Lamond Murray', 'Derek Anderson'}"
5,"August 5, 1999","{'PHO', 'ORL'}","{'Anfernee Hardaway', 'Danny Manning', 'Pat Garrity'}"
6,"August 8, 1999","{'LAC', 'ATL'}",{'Lorenzen Wright'}
7,"August 11, 1999","{'WAS', 'ORL'}","{'Jeff McInnis', 'Tim Legler', 'Terry Davis', 'Isaac Austin', 'Ben Wallace'}"
8,"August 12, 1999","{'SEA', 'CHI'}","{'Hersey Hawkins', 'James Cotton', 'Brent Barry'}"
9,"August 13, 1999","{'PHI', 'ORL'}","{'Anthony Parker', 'Billy Owens', 'Harvey Grant'}"
10,"August 19, 1999","{'MIL', 'ORL'}","{'Dale Ellis', 'Armen Gilliam', 'Danny Manning', 'Chris Gatling'}"
11,"August 27, 1999","{'VAN', 'ORL', 'HOU'}","{'Don MacLean', 'Michael Dickerson', 'Brent Price', 'Steve Francis', 'Michael Smith', 'Lee Mayberry', 'Rodrick Rhodes', 'Othella Harrington', 'Tony Massenburg', ""Makhtar N'Diaye"", 'Antoine Carr'}"
12,"September 1, 1999","{'LAL', 'DAL'}","{'Sean Rooks', 'A.C. Green'}"
13,"September 22, 1999","{'WAS', 'ORL'}",{'Laron Profit'}
14,"September 23, 1999","{'NJN', 'LAC'}","{'Johnny Newman', 'Eric Murdock'}"
15,"September 29, 1999","{'DAL', 'CHI'}",{'Chris Anstey'}
16,"October 2, 1999","{'POR', 'HOU'}","{'Walt Williams', 'Scottie Pippen', 'Ed Gray', 'Carlos Rogers', 'Stacey Augmon', 'Brian Shaw', 'Kelvin Cato'}"
17,"January 18, 2000","{'MIL', 'CHH'}",{'Dale Ellis'}
18,"February 1, 2000","{'DEN', 'ORL'}","{'Chauncey Billups', 'Johnny Taylor', 'Ron Mercer', 'Chris Gatling', 'Tariq Abdul-Wahad'}"
19,"February 16, 2000","{'GSW', 'PHI', 'CHI'}","{'Larry Hughes', 'John Starks', 'Bruce Bowen', 'Toni KukoÄ\x8d', 'Billy Owens'}"
20,"February 24, 2000","{'ORL', 'ATL'}",{'Anthony Johnson'}
21,"June 23, 2000","{'DEN', 'UTA'}",set()
22,"June 27, 2000","{'GSW', 'CLE', 'MIL'}","{'Jason Caffey', 'Vinny Del Negro', 'J.R. Reid', 'Bob Sura', 'Billy Owens', 'Robert Traylor'}"
23,"June 27, 2000","{'DEN', 'MIA'}","{'Voshon Lenard', 'Mark Strickland', 'Chris Gatling'}"
24,"June 28, 2000","{'BOS', 'SEA'}",{'Josip Sesar'}
25,"June 28, 2000","{'CLE', 'CHI'}","{'Chris Mihm', 'Jamal Crawford'}"
26,"June 28, 2000","{'MIL', 'HOU'}","{'Joel Przybilla', 'Jason Collier'}"
27,"June 28, 2000","{'DAL', 'ORL'}",{'Courtney Alexander'}
28,"June 28, 2000","{'DAL', 'HOU'}","{'Eduardo NÃ¡jera', 'Dan Langhi'}"
29,"June 28, 2000","{'LAC', 'ORL'}","{'Keyon Dooling', 'Corey Maggette', 'Derek Strong'}"
30,"June 28, 2000","{'DAL', 'NYK'}","{'John Wallace', 'Pete Mickeal', 'Erick Strickland', 'Donnell Harvey'}"
31,"June 28, 2000","{'LAC', 'DAL'}","{'Sean Rooks', 'Eric Murdock'}"
