,date,teams,players
0,"December 9, 2011","{'MIL', 'BOS'}","{'Keyon Dooling', 'Albert Miralles'}"
1,"December 10, 2011","{'WAS', 'DAL', 'NYK'}","{'Andy Rautins', 'Georgios Printezis', 'Ronny Turiaf', 'Ahman Nivins', 'Tyson Chandler'}"
2,"December 11, 2011","{'LAL', 'DAL'}",{'Lamar Odom'}
3,"December 12, 2011","{'BOS', 'ORL'}","{'Von Wafer', 'Brandon Bass', 'Glen Davis'}"
4,"December 13, 2011","{'DEN', 'DAL'}","{'Rudy FernÃ¡ndez', 'Corey Brewer'}"
5,"December 13, 2011","{'MIN', 'OKC'}","{'Lazar Hayward', 'Robert Vaden'}"
6,"December 14, 2011","{'LAC', 'NOH'}","{'Chris Paul', 'Chris Kaman', 'Al-Farouq Aminu', 'Eric Gordon'}"
7,"December 19, 2011","{'CHA', 'OKC'}",{'Byron Mullens'}
8,"December 19, 2011","{'GSW', 'IND'}","{'Lou Amundson', 'Brandon Rush'}"
9,"December 22, 2011","{'NJN', 'UTA'}",{'Mehmet Okur'}
10,"December 24, 2011","{'NOH', 'MEM'}","{'Quincy Pondexter', 'Greivis VÃ¡squez'}"
11,"January 4, 2012","{'PHI', 'NOH', 'MEM'}","{'Marreese Speights', 'Xavier Henry'}"
12,"March 13, 2012","{'GSW', 'MIL'}","{'Kwame Brown', 'Andrew Bogut', 'Stephen Jackson', 'Monta Ellis', 'Ekpe Udoh'}"
13,"March 15, 2012","{'GSW', 'ATL'}",set()
14,"March 15, 2012","{'PHI', 'MEM'}","{'Ricky SÃ¡nchez', 'Sam Young'}"
15,"March 15, 2012","{'TOR', 'IND'}",{'Leandro Barbosa'}
16,"March 15, 2012","{'LAL', 'HOU'}","{'Derek Fisher', 'Jordan Hill'}"
17,"March 15, 2012","{'GSW', 'SAS'}","{'Stephen Jackson', 'Richard Jefferson', 'T.J. Ford'}"
18,"March 15, 2012","{'LAL', 'CLE'}","{'Christian Eyenga', 'Ramon Sessions', 'Luke Walton', 'Jason Kapono'}"
19,"March 15, 2012","{'NJN', 'POR'}","{'Mehmet Okur', 'Gerald Wallace', 'Shawne Williams'}"
20,"March 15, 2012","{'DEN', 'WAS', 'LAC'}","{'NenÃª', 'Nick Young', 'JaVale McGee', 'Brian Cook', 'Ronny Turiaf'}"
21,"March 15, 2012","{'POR', 'HOU'}","{'Hasheem Thabeet', 'Jonny Flynn', 'Marcus Camby'}"
22,"June 20, 2012","{'WAS', 'NOH'}","{'Rashard Lewis', 'Trevor Ariza', 'Emeka Okafor'}"
23,"June 26, 2012","{'BOS', 'OKC'}","{'Kendrick Perkins', 'Nenad KrstiÄ\x87', 'Nate Robinson', 'Jeff Green'}"
24,"June 26, 2012","{'MIN', 'HOU'}","{'Chase Budinger', 'Lior Eliyahu'}"
25,"June 26, 2012","{'DET', 'CHA'}","{'Ben Gordon', 'Corey Maggette'}"
26,"June 27, 2012","{'MIL', 'HOU'}","{'Jon Brockman', 'Samuel Dalembert', 'Jon Leuer', 'Shaun Livingston'}"
27,"June 29, 2012","{'MIA', 'PHI'}","{'Arnett Moultrie', 'Justin Hamilton'}"
28,"June 29, 2012","{'SAC', 'IND'}",{'Orlando Johnson'}
29,"June 29, 2012","{'DAL', 'CLE'}","{'Bernard James', 'Jared Cunningham', 'Tyler Zeller', 'Jae Crowder', 'Kelenna Azubuike'}"
30,"June 29, 2012","{'NJN', 'PHI'}",{'Tornike Shengelia'}
31,"June 29, 2012","{'LAL', 'DAL'}",{'Darius Johnson-Odom'}
32,"June 29, 2012","{'NJN', 'POR'}",{'Tyshawn Taylor'}
33,"June 29, 2012","{'LAC', 'DAL', 'UTA', 'HOU'}","{'Shan Foster', 'Tadija DragiÄ\x87eviÄ\x87', 'Lamar Odom', 'Mo Williams', 'Furkan Aldemir'}"
