,date,teams,players
0,"July 6, 2017","{'OKC', 'IND'}","{'Paul George', 'Victor Oladipo', 'Domantas Sabonis'}"
1,"July 6, 2017","{'LAC', 'PHI'}",{'Jawun Evans'}
2,"July 6, 2017","{'MIL', 'PHI'}",{'Sterling Brown'}
3,"July 6, 2017","{'DEN', 'LAC', 'ATL'}","{'Jamal Crawford', 'Diamond Stone', 'Danilo Gallinari'}"
4,"July 7, 2017","{'DET', 'BOS'}","{'Marcus Morris', 'Avery Bradley'}"
5,"July 7, 2017","{'MIA', 'DAL'}","{'Josh McRoberts', 'A.J. Hammons'}"
6,"July 13, 2017","{'TOR', 'BRK'}","{'Justin Hamilton', 'DeMarre Carroll'}"
7,"July 14, 2017","{'TOR', 'IND'}","{'Cory Joseph', 'Emir PreldÅ¾iÄ\x87'}"
8,"July 14, 2017","{'NYK', 'SAC'}",{'Scott Perry'}
9,"July 25, 2017","{'POR', 'BRK'}","{'Andrew Nicholson', 'Allen Crabbe'}"
10,"August 30, 2017","{'BOS', 'CLE'}","{'Ante Å½iÅ¾iÄ\x87', 'Jae Crowder', 'Isaiah Thomas', 'Kyrie Irving'}"
11,"September 1, 2017","{'NOP', 'CHI'}","{'Quincy Pondexter', 'Ater Majok'}"
12,"September 22, 2017","{'PHO', 'MEM'}",{'Troy Daniels'}
13,"September 25, 2017","{'OKC', 'NYK'}","{'Carmelo Anthony', 'Doug McDermott', 'Enes Kanter'}"
14,"September 25, 2017","{'LAC', 'ATL'}",{'DeAndre Liggins'}
15,"October 14, 2017","{'CLE', 'ATL'}","{'Sergiy Gladyr', 'Kay Felder', 'Dimitrios Agravanis', 'Richard Jefferson'}"
16,"November 7, 2017","{'MIL', 'PHO'}","{'Eric Bledsoe', 'Greg Monroe'}"
17,"December 7, 2017","{'PHI', 'BRK'}","{'Jahlil Okafor', 'Nik Stauskas', 'Trevor Booker'}"
18,"January 29, 2018","{'DET', 'LAC'}","{'Blake Griffin', 'Tobias Harris', 'Willie Reed', 'Boban MarjanoviÄ\x87', 'Avery Bradley', 'Brice Johnson'}"
19,"February 1, 2018","{'NOP', 'CHI'}","{'Ã\x96mer AÅ\x9fÄ±k', 'Nikola MirotiÄ\x87', 'Tony Allen', 'Jameer Nelson'}"
20,"February 5, 2018","{'MIL', 'BRK'}","{'Rashad Vaughn', 'Tyler Zeller'}"
21,"February 7, 2018","{'CHO', 'NYK'}","{'Willy HernangÃ³mez', ""Johnny O'Bryant""}"
22,"February 8, 2018","{'DET', 'CHI'}","{'Willie Reed', 'Jameer Nelson'}"
23,"February 8, 2018","{'MIA', 'ATL'}","{'Okaro White', 'Luke Babbitt'}"
24,"February 8, 2018","{'MIA', 'CLE'}",{'Dwyane Wade'}
25,"February 8, 2018","{'LAL', 'CLE'}","{'Channing Frye', 'Isaiah Thomas', 'Jordan Clarkson', 'Larry Nance Jr.'}"
26,"February 8, 2018","{'NOP', 'BRK'}","{'Rashad Vaughn', 'Dante Cunningham'}"
27,"February 8, 2018","{'POR', 'CHI'}","{'Milovan RakoviÄ\x87', 'Noah Vonleh'}"
28,"February 8, 2018","{'WAS', 'ATL'}",{'Sheldon Mac'}
29,"February 8, 2018","{'DEN', 'DAL', 'NYK'}","{'Emmanuel Mudiay', 'Doug McDermott', 'Devin Harris'}"
30,"February 8, 2018","{'CLE', 'UTA', 'SAC'}","{'ArtÅ«ras Gudaitis', 'Derrick Rose', 'Dimitrios Agravanis', 'George Hill', 'Joe Johnson', 'Iman Shumpert', 'Rodney Hood', 'Jae Crowder'}"
31,"February 8, 2018","{'DET', 'MEM'}","{'James Ennis', 'Brice Johnson'}"
32,"February 8, 2018","{'PHO', 'ORL'}",{'Elfrid Payton'}
33,"February 8, 2018","{'TOR', 'SAC'}","{'Malachi Richardson', 'Bruno Caboclo'}"
34,"June 21, 2018","{'DAL', 'ATL'}","{'Trae Young', 'Luka DonÄ\x8diÄ\x87'}"
35,"June 21, 2018","{'PHO', 'PHI'}","{'Mikal Bridges', 'Zhaire Smith'}"
36,"June 21, 2018","{'CHO', 'ATL'}","{""Devonte' Graham""}"
37,"June 21, 2018","{'CHO', 'LAC'}","{'Shai Gilgeous-Alexander', 'Miles Bridges'}"
38,"June 21, 2018","{'PHI', 'DAL'}","{'Kostas Antetokounmpo', 'Ray Spalding', 'Shake Milton'}"
39,"June 21, 2018","{'DEN', 'ORL'}","{'Jarred Vanderbilt', 'Justin Jackson'}"
40,"June 21, 2018","{'DET', 'PHI'}",{'Khyri Thomas'}
41,"June 21, 2018","{'POR', 'SAC'}",{'Gary Trent Jr.'}
42,"June 22, 2018","{'UTA', 'HOU'}",{'Vince Edwards'}
43,"June 26, 2018","{'WAS', 'LAC'}","{'Marcin Gortat', 'Austin Rivers'}"
