,date,teams,players
0,"June 28, 2000","{'SAS', 'LAL'}",{'Cory Hightower'}
1,"August 1, 2000","{'CHH', 'MIA'}","{'P.J. Brown', 'Eddie Jones', 'Dale Ellis', 'Rodney Buford', 'Jamal Mashburn', 'Anthony Mason', 'Ricky Davis', 'Tim James', 'Otis Thorpe'}"
2,"August 3, 2000","{'DET', 'ORL'}","{'Grant Hill', 'Ben Wallace', 'Chucky Atkins'}"
3,"August 3, 2000","{'CLE', 'ORL'}","{'Andrew DeClercq', 'Matt Harpring'}"
4,"August 3, 2000","{'TOR', 'ORL'}",{'Tracy McGrady'}
5,"August 16, 2000","{'GSW', 'BOS', 'DAL', 'UTA'}","{'Danny Fortson', 'Donyell Marshall', 'Bruno Å\xa0undov', 'Hot Rod Williams', 'Howard Eisley', 'Dana Barros', 'Adam Keefe', 'Bill Curley', 'Robert Pack'}"
6,"August 22, 2000","{'VAN', 'WAS'}","{'Obinna Ekezie', 'Felipe LÃ³pez', 'Isaac Austin', 'Cherokee Parks', 'Dennis Scott'}"
7,"August 22, 2000","{'MIL', 'DET'}","{'Lindsey Hunter', 'Billy Owens'}"
8,"August 29, 2000","{'DET', 'DAL'}","{'Christian Laettner', 'Cedric Ceballos', 'Eric Murdock', 'John Wallace', 'Terry Mills'}"
9,"August 30, 2000","{'POR', 'CLE', 'MIA'}","{'Chris Gatling', 'Shawn Kemp', 'Clarence Weatherspoon', 'Gary Grant', 'Brian Grant'}"
10,"August 31, 2000","{'POR', 'IND'}","{'Dale Davis', ""Jermaine O'Neal"", 'Joe Kleine'}"
11,"September 20, 2000","{'PHO', 'LAL', 'NYK', 'SEA'}","{'Glen Rice', 'Vernon Maxwell', 'Vladimir Stepania', 'Travis Knight', 'Horace Grant', 'Chris Dudley', 'Patrick Ewing', 'Chuck Person', 'Lazaro Borrell', 'Emanual Davis', 'Greg Foster', 'Luc Longley'}"
12,"September 25, 2000","{'DEN', 'WAS'}","{'Popeye Jones', 'Tracy Murray'}"
13,"September 28, 2000","{'HOU', 'CHI'}",{'Bryce Drew'}
14,"September 30, 2000","{'TOR', 'SAC'}","{'Corliss Williamson', 'Doug Christie'}"
15,"October 16, 2000","{'DEN', 'BOS'}","{'Bryant Stith', 'Chris Herren', 'Calbert Cheaney', 'Robert Pack'}"
16,"October 17, 2000","{'DET', 'DAL'}","{'Loy Vaught', 'Dana Barros', 'Ansu Sesay'}"
17,"November 26, 2000","{'DET', 'MIA'}",{'Cedric Ceballos'}
18,"November 28, 2000","{'WAS', 'LAC'}","{'Obinna Ekezie', 'Cherokee Parks', 'Tyrone Nesby'}"
19,"January 2, 2001","{'CLE', 'ATL'}","{'Larry Robinson', 'Brevin Knight', 'Anthony Johnson', 'Jim Jackson'}"
20,"January 12, 2001","{'DEN', 'TOR'}","{'Tracy Murray', 'Aleksandar RadojeviÄ\x87', 'Garth Joseph', 'Kevin Willis', ""Mamadou N'Diaye"", 'Keon Clark'}"
21,"January 26, 2001","{'GSW', 'PHO'}","{'Vinny Del Negro', 'Corie Blount', 'RubÃ©n GarcÃ©s', 'Paul McPherson'}"
22,"January 30, 2001","{'VAN', 'NYK'}","{'Othella Harrington', 'Erick Strickland'}"
23,"February 22, 2001","{'PHI', 'ATL'}","{'Nazr Mohammed', 'Toni KukoÄ\x8d', 'Roshown McLeod', 'Pepe SÃ¡nchez', 'Theo Ratliff', 'Dikembe Mutombo'}"
24,"February 22, 2001","{'DET', 'TOR'}","{'KornÃ©l DÃ¡vid', 'Corliss Williamson', 'Jerome Williams', 'Eric Montross', 'Tyrone Corbin'}"
25,"February 22, 2001","{'TOR', 'NYK'}","{'Chris Childs', 'Mark Jackson', 'Muggsy Bogues'}"
26,"February 22, 2001","{'WAS', 'DAL'}","{'Calvin Booth', 'Loy Vaught', 'Obinna Ekezie', 'Christian Laettner', 'Juwan Howard', 'Hubert Davis', 'Etan Thomas', 'Courtney Alexander'}"
27,"June 2, 2001","{'DET', 'ORL', 'HOU'}",set()
28,"June 14, 2001","{'CHH', 'CHI'}",{'Roberto Duenas'}
29,"June 26, 2001","{'LAC', 'PHI'}",set()
30,"June 27, 2001","{'DEN', 'ORL'}",{'Omar Cook'}
31,"June 27, 2001","{'HOU', 'ATL'}",{'Terence Morris'}
32,"June 27, 2001","{'WAS', 'SEA'}","{'Bobby Simmons', 'Predrag Drobnjak'}"
33,"June 27, 2001","{'VAN', 'ATL'}","{'Jamaal Tinsley', 'Shareef Abdur-Rahim', 'Pau Gasol', 'Lorenzen Wright', 'Brevin Knight'}"
34,"June 27, 2001","{'IND', 'ATL'}",{'Jamaal Tinsley'}
35,"June 27, 2001","{'VAN', 'SAC'}","{'Brent Price', 'Jason Williams', 'Mike Bibby', 'Nick Anderson'}"
36,"June 27, 2001","{'LAC', 'CHI'}","{'Elton Brand', 'Brian Skinner', 'Tyson Chandler'}"
37,"June 27, 2001","{'CLE', 'ORL'}","{'Brendan Haywood', 'Michael Doleac'}"
38,"June 27, 2001","{'NJN', 'HOU'}","{'Eddie Griffin', 'Brandon Armstrong', 'Richard Jefferson', 'Jason Collins'}"
39,"June 28, 2001","{'MIL', 'LAL'}","{'Lindsey Hunter', 'Greg Foster'}"
