,date,teams,players
0,"July 6, 2018","{'CHO', 'BRK'}","{'Hamidou Diallo', 'Timofey Mozgov', 'Dwight Howard'}"
1,"July 6, 2018","{'CHO', 'OKC'}",{'Hamidou Diallo'}
2,"July 6, 2018","{'LAL', 'PHI'}",{'Isaac Bonga'}
3,"July 6, 2018","{'DEN', 'PHI'}",{'Wilson Chandler'}
4,"July 8, 2018","{'CHO', 'ORL', 'CHI'}","{'Jerian Grant', 'Bismack Biyombo', 'Julyan Stone', 'Timofey Mozgov'}"
5,"July 13, 2018","{'DEN', 'BRK'}","{'Kenneth Faried', 'Isaiah Whitehead', 'Darrell Arthur'}"
6,"July 13, 2018","{'BRK', 'ATL'}","{'IsaÃ¯a Cordinier', 'Jeremy Lin'}"
7,"July 17, 2018","{'MEM', 'SAC'}","{'Deyonta Davis', 'Ben McLemore', 'Garrett Temple'}"
8,"July 18, 2018","{'SAS', 'TOR'}","{'Jakob PÃ¶ltl', 'DeMar DeRozan', 'Kawhi Leonard', 'Danny Green'}"
9,"July 20, 2018","{'PHO', 'PHI'}",{'Richaun Holmes'}
10,"July 20, 2018","{'OKC', 'ORL'}","{'Rodney Purvis', 'Dakari Johnson'}"
11,"July 20, 2018","{'PHO', 'BRK'}","{'Jared Dudley', 'Darrell Arthur'}"
12,"July 23, 2018","{'MEM', 'ORL'}","{'Tyler Harvey', 'Dakari Johnson', 'Jarell Martin'}"
13,"July 23, 2018","{'BOS', 'OKC'}","{'Abdel Nader', 'Rodney Purvis'}"
14,"July 23, 2018","{'LAC', 'DAL'}","{'Renaldas Seibutis', 'Maarty Leunen', 'Johnathan Motley'}"
15,"July 25, 2018","{'PHI', 'OKC', 'ATL'}","{'TimothÃ© Luwawu-Cabarrot', 'Justin Anderson', 'Mike Muscala', 'Dennis SchrÃ¶der'}"
16,"August 2, 2018","{'DAL', 'HOU'}","{'Chinanu Onuaku', 'Maarty Leunen'}"
17,"August 7, 2018","{'LAC', 'CLE'}","{'Sam Dekker', 'Renaldas Seibutis', 'Vladimir Veremeenko'}"
18,"August 31, 2018","{'PHO', 'HOU'}","{'Brandon Knight', ""De'Anthony Melton"", 'Marquese Chriss', 'Ryan Anderson'}"
19,"October 15, 2018","{'NOP', 'LAC'}","{'Wesley Johnson', 'Alexis AjinÃ§a'}"
20,"October 15, 2018","{'MIL', 'WAS'}",{'Jodie Meeks'}
21,"November 12, 2018","{'MIN', 'PHI'}","{'Dario Å\xa0ariÄ\x87', 'Jerryd Bayless', 'Robert Covington', 'Jimmy Butler', 'Justin Patton'}"
