,date,teams,players
0,"July 1, 1991","{'SAC', 'ATL'}","{'Spud Webb', 'Travis Mays'}"
1,"July 1, 1991","{'DEN', 'MIL', 'ATL'}","{'Anthony Avent', 'Blair Rasmussen', 'Kevin Brooks'}"
2,"July 3, 1991","{'LAC', 'NYK'}",{'Joe Wylie'}
3,"August 13, 1991","{'DEN', 'DET'}","{'Scott Hastings', 'Orlando Woolridge'}"
4,"August 13, 1991","{'DET', 'LAC'}","{'Jeff Martin', 'James Edwards'}"
5,"September 5, 1991","{'DET', 'WSB'}",{'Darrell Walker'}
6,"September 23, 1991","{'SAS', 'SAC'}","{'Antoine Carr', 'Dwayne Schintzius'}"
7,"October 1, 1991","{'PHO', 'NYK'}","{'Jerrod Mustaf', 'Trent Tucker', 'Xavier McDaniel'}"
8,"October 2, 1991","{'LAL', 'SEA'}",{'Sedale Threatt'}
9,"October 3, 1991","{'NYK', 'ATL'}","{'Tim McCormick', 'Maurice Cheeks'}"
10,"November 1, 1991","{'GSW', 'SAC'}","{'Les Jepsen', 'Mitch Richmond', 'Billy Owens'}"
11,"November 4, 1991","{'SAC', 'CHI'}","{'Dennis Hopson', 'Bob Hansen'}"
12,"November 25, 1991","{'MIN', 'UTA'}","{'Thurl Bailey', 'Tyrone Corbin'}"
13,"January 10, 1992","{'MIA', 'BOS'}","{'Brian Shaw', 'Sherman Douglas'}"
14,"February 19, 1992","{'CHH', 'WSB'}","{'Tom Hammonds', 'Rex Chapman'}"
15,"February 20, 1992","{'DAL', 'NYK'}","{'James Donaldson', 'Brian Quinnett'}"
16,"May 11, 1992","{'MIL', 'LAL'}",{'Mike Dunleavy'}
17,"June 17, 1992","{'PHO', 'PHI'}","{'Jeff Hornacek', 'Charles Barkley', 'Tim Perry', 'Andrew Lang'}"
18,"June 24, 1992","{'MIL', 'UTA'}","{'Blue Edwards', 'Jay Humphries', 'Eric Murdock', 'Larry Krystkowiak'}"
19,"June 24, 1992","{'DET', 'LAC'}","{'William Bedford', 'Don MacLean', 'Olden Polynice'}"
20,"June 24, 1992","{'DAL', 'NYK'}",{'Rolando Blackman'}
