,date,teams,players
0,"July 9, 2015","{'PHO', 'DET'}","{'Reggie Bullock', 'Danny Granger', 'Marcus Morris'}"
1,"July 9, 2015","{'MIL', 'WAS'}",{'Jared Dudley'}
2,"July 9, 2015","{'PHI', 'SAC'}","{'ArtÅ«ras Gudaitis', 'Luka MitroviÄ\x87', 'Nik Stauskas', 'Carl Landry', 'Jason Thompson'}"
3,"July 9, 2015","{'SAS', 'SAC'}",{'Ray McCallum'}
4,"July 9, 2015","{'MIL', 'DAL'}",{'Zaza Pachulia'}
5,"July 9, 2015","{'SAS', 'ATL'}","{'Tiago Splitter', 'Georgios Printezis'}"
6,"July 9, 2015","{'NYK', 'ORL'}","{""Kyle O'Quinn""}"
7,"July 9, 2015","{'LAL', 'IND'}",{'Roy Hibbert'}
8,"July 9, 2015","{'GSW', 'BOS'}","{'David Lee', 'Gerald Wallace', 'Chris Babb'}"
9,"July 11, 2015","{'MIN', 'IND'}","{'Chase Budinger', 'Damjan RudeÅ¾'}"
10,"July 13, 2015","{'DET', 'BRK'}","{'Steve Blake', 'Quincy Miller'}"
11,"July 14, 2015","{'POR', 'ORL'}",{'Maurice Harkless'}
12,"July 14, 2015","{'BOS', 'OKC'}",{'Perry Jones'}
13,"July 20, 2015","{'DEN', 'HOU'}","{'Joey Dorsey', 'Ty Lawson', 'Nick Johnson', 'Pablo Prigioni', 'Kostas Papanikolaou'}"
14,"July 23, 2015","{'CLE', 'IND'}",{'Rakeem Christmas'}
15,"July 27, 2015","{'POR', 'CLE'}","{'Mike Miller', 'Brendan Haywood'}"
16,"July 27, 2015","{'MIA', 'BOS'}",{'Zoran DragiÄ\x87'}
17,"July 27, 2015","{'MIA', 'ORL'}",{'Shabazz Napier'}
18,"July 31, 2015","{'GSW', 'PHI'}","{'Jason Thompson', 'Gerald Wallace'}"
19,"November 10, 2015","{'MIA', 'MEM'}","{'Jarnell Stokes', 'James Ennis', 'Mario Chalmers', 'Beno Udrih'}"
20,"December 24, 2015","{'NOP', 'PHI'}",{'Ish Smith'}
21,"January 12, 2016","{'CLE', 'ORL'}",{'Joe Harris'}
22,"January 22, 2016","{'LAC', 'HOU'}","{'Sergei Lishouk', 'Maarty Leunen', 'Josh Smith'}"
23,"February 16, 2016","{'CHO', 'MEM', 'MIA'}","{'Brian Roberts', 'Chris Andersen', 'P.J. Hairston', 'Courtney Lee'}"
24,"February 16, 2016","{'DET', 'ORL'}","{'Brandon Jennings', 'Tobias Harris', 'Ersan Ä°lyasova'}"
25,"February 18, 2016","{'PHO', 'WAS'}","{'Markieff Morris', 'Kris Humphries', 'DeJuan Blair'}"
26,"February 18, 2016","{'MIA', 'POR'}",{'Brian Roberts'}
27,"February 18, 2016","{'LAC', 'MEM'}","{'Lance Stephenson', 'Jeff Green'}"
28,"February 18, 2016","{'POR', 'CLE', 'ORL'}","{'Channing Frye', 'Jared Cunningham', 'Anderson VarejÃ£o'}"
29,"February 18, 2016","{'DEN', 'OKC'}","{'Steve Novak', 'D.J. Augustin', 'Randy Foye'}"
30,"February 18, 2016","{'CHI', 'UTA', 'ATL'}","{'Shelvin Mack', 'Justin Holiday', 'Kirk Hinrich'}"
31,"February 18, 2016","{'MIA', 'NOP'}",{'Jarnell Stokes'}
32,"June 17, 2016","{'DET', 'CHI'}","{'Cameron Bairstow', 'Spencer Dinwiddie'}"
33,"June 22, 2016","{'NYK', 'CHI'}","{'JosÃ© CalderÃ³n', 'Jerian Grant', 'Robin Lopez', 'Justin Holiday', 'Derrick Rose'}"
34,"June 23, 2016","{'OKC', 'ORL'}","{'Victor Oladipo', 'Domantas Sabonis', 'Ersan Ä°lyasova', 'Serge Ibaka'}"
35,"June 23, 2016","{'PHO', 'SAC'}","{'Marquese Chriss', 'Skal LabissiÃ¨re', 'Georgios Papagiannis', 'Bogdan BogdanoviÄ\x87'}"
36,"June 23, 2016","{'BOS', 'MEM'}","{'Deyonta Davis', 'Rade Zagorac'}"
37,"June 23, 2016","{'NOP', 'LAC'}","{'David Michineau', 'Diamond Stone', 'Cheick Diallo'}"
38,"June 23, 2016","{'GSW', 'MIL'}",{'Patrick McCaw'}
39,"June 23, 2016","{'BRK', 'UTA'}","{'Marcus Paige', 'Isaiah Whitehead'}"
40,"June 23, 2016","{'POR', 'ORL'}",{'Jake Layman'}
41,"June 23, 2016","{'CLE', 'ATL'}",{'Kay Felder'}
42,"June 23, 2016","{'DEN', 'OKC'}",{'Daniel Hamilton'}
43,"June 29, 2016","{'DET', 'ORL'}",{'Jodie Meeks'}
