,date,teams,players,includes_draft_picks
44,"March 25, 2021","{'ORL', 'CHI'}","{'Franz Wagner', 'Nikola VuÄ\x8deviÄ\x87', 'Jett Howard', 'Wendell Carter Jr.', 'Otto Porter', 'Al-Farouq Aminu'}",True
45,"March 25, 2021","{'POR', 'TOR'}","{'Norman Powell', 'Rodney Hood', 'Gary Trent Jr.'}",False
46,"March 25, 2021","{'WAS', 'BOS', 'CHI'}","{'Troy Brown Jr.', 'Moritz Wagner', 'Daniel Theis', 'Chandler Hutchison', 'Javonte Green', 'Luke Kornet', 'Daniel Gafford'}",False
47,"March 25, 2021","{'MIA', 'SAC'}","{'Chris Silva', 'Nemanja Bjelica', 'Maurice Harkless'}",False
48,"March 25, 2021","{'LAC', 'ATL'}","{'Rajon Rondo', 'Lou Williams', 'Julian Phillips'}",True
49,"March 25, 2021","{'TOR', 'SAC'}",{'Dalano Banton'},True
50,"March 25, 2021","{'MIA', 'HOU'}","{'Victor Oladipo', 'Kelly Olynyk', 'Avery Bradley'}",True
51,"March 25, 2021","{'GSW', 'CHO'}",{'Brad Wanamaker'},True
52,"March 25, 2021","{'GSW', 'SAS'}","{'Marquese Chriss', 'Cady Lalane'}",False
53,"March 25, 2021","{'DEN', 'ORL'}","{'Gary Clark', 'R.J. Hampton', 'Aaron Gordon', 'Gary Harris'}",True
54,"March 25, 2021","{'BOS', 'ORL'}","{'Evan Fournier', 'Jeff Teague'}",False
55,"March 25, 2021","{'DEN', 'CLE'}","{'JaVale McGee', 'Isaiah Hartenstein'}",True
56,"March 25, 2021","{'DET', 'SAC'}","{'Luka Garza', 'Cory Joseph', 'Delon Wright'}",True
57,"March 25, 2021","{'NOP', 'DAL'}","{'Charles Bassey', 'J.J. Redick', 'James Johnson', 'Wesley Iwundu', 'NicolÃ² Melli'}",True
58,"March 25, 2021","{'TOR', 'UTA'}","{'David Johnson', 'Matt Thomas'}",True
59,"June 18, 2021","{'BOS', 'OKC'}","{'Moses Brown', 'Kemba Walker', 'Amari Bailey', 'Alperen Å\x9eengÃ¼n', 'Al Horford'}",True
